snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,ai,US,"United States","ChatGPT","OpenAI",2025-06,101000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2025-07,101000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2025-08,101000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2025-09,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2025-10,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2025-11,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2025-12,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2026-01,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2026-02,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2026-03,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2026-04,124000000
2026-06,ai,US,"United States","ChatGPT","OpenAI",2026-05,124000000
2026-06,ai,US,"United States","Gemini","Google",2025-06,1500000
2026-06,ai,US,"United States","Gemini","Google",2025-07,1500000
2026-06,ai,US,"United States","Gemini","Google",2025-08,1830000
2026-06,ai,US,"United States","Gemini","Google",2025-09,7480000
2026-06,ai,US,"United States","Gemini","Google",2025-10,6120000
2026-06,ai,US,"United States","Gemini","Google",2025-11,5000000
2026-06,ai,US,"United States","Gemini","Google",2025-12,5000000
2026-06,ai,US,"United States","Gemini","Google",2026-01,5000000
2026-06,ai,US,"United States","Gemini","Google",2026-02,5000000
2026-06,ai,US,"United States","Gemini","Google",2026-03,6120000
2026-06,ai,US,"United States","Gemini","Google",2026-04,6120000
2026-06,ai,US,"United States","Gemini","Google",2026-05,6120000
2026-06,ai,US,"United States","Claude","Anthropic",2025-06,823000
2026-06,ai,US,"United States","Claude","Anthropic",2025-07,823000
2026-06,ai,US,"United States","Claude","Anthropic",2025-08,1000000
2026-06,ai,US,"United States","Claude","Anthropic",2025-09,1000000
2026-06,ai,US,"United States","Claude","Anthropic",2025-10,1220000
2026-06,ai,US,"United States","Claude","Anthropic",2025-11,1220000
2026-06,ai,US,"United States","Claude","Anthropic",2025-12,1220000
2026-06,ai,US,"United States","Claude","Anthropic",2026-01,1830000
2026-06,ai,US,"United States","Claude","Anthropic",2026-02,3350000
2026-06,ai,US,"United States","Claude","Anthropic",2026-03,7480000
2026-06,ai,US,"United States","Claude","Anthropic",2026-04,9140000
2026-06,ai,US,"United States","Claude","Anthropic",2026-05,7480000
2026-06,ai,US,"United States","Copilot","Microsoft",2025-06,201000
2026-06,ai,US,"United States","Copilot","Microsoft",2025-07,201000
2026-06,ai,US,"United States","Copilot","Microsoft",2025-08,246000
2026-06,ai,US,"United States","Copilot","Microsoft",2025-09,301000
2026-06,ai,US,"United States","Copilot","Microsoft",2025-10,368000
2026-06,ai,US,"United States","Copilot","Microsoft",2025-11,301000
2026-06,ai,US,"United States","Copilot","Microsoft",2025-12,301000
2026-06,ai,US,"United States","Copilot","Microsoft",2026-01,301000
2026-06,ai,US,"United States","Copilot","Microsoft",2026-02,368000
2026-06,ai,US,"United States","Copilot","Microsoft",2026-03,368000
2026-06,ai,US,"United States","Copilot","Microsoft",2026-04,368000
2026-06,ai,US,"United States","Copilot","Microsoft",2026-05,301000
2026-06,ai,US,"United States","Grok","xAI",2025-06,1220000
2026-06,ai,US,"United States","Grok","xAI",2025-07,1830000
2026-06,ai,US,"United States","Grok","xAI",2025-08,1830000
2026-06,ai,US,"United States","Grok","xAI",2025-09,1830000
2026-06,ai,US,"United States","Grok","xAI",2025-10,2240000
2026-06,ai,US,"United States","Grok","xAI",2025-11,2740000
2026-06,ai,US,"United States","Grok","xAI",2025-12,2740000
2026-06,ai,US,"United States","Grok","xAI",2026-01,4090000
2026-06,ai,US,"United States","Grok","xAI",2026-02,3350000
2026-06,ai,US,"United States","Grok","xAI",2026-03,4090000
2026-06,ai,US,"United States","Grok","xAI",2026-04,3350000
2026-06,ai,US,"United States","Grok","xAI",2026-05,2740000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2025-06,1220000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2025-07,1220000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2025-08,1500000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2025-09,1830000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2025-10,2240000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2025-11,1830000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2025-12,1500000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2026-01,1500000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2026-02,1830000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2026-03,1830000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2026-04,1830000
2026-06,ai,US,"United States","Perplexity","Perplexity AI",2026-05,1220000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2025-06,1500000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2025-07,1220000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2025-08,1220000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2025-09,1500000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2025-10,1500000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2025-11,1220000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2025-12,1000000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2026-01,1000000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2026-02,1000000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2026-03,1220000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2026-04,1220000
2026-06,ai,US,"United States","DeepSeek","DeepSeek",2026-05,1220000
2026-06,ai,US,"United States","Meta AI","Meta",2025-06,246000
2026-06,ai,US,"United States","Meta AI","Meta",2025-07,246000
2026-06,ai,US,"United States","Meta AI","Meta",2025-08,246000
2026-06,ai,US,"United States","Meta AI","Meta",2025-09,301000
2026-06,ai,US,"United States","Meta AI","Meta",2025-10,368000
2026-06,ai,US,"United States","Meta AI","Meta",2025-11,301000
2026-06,ai,US,"United States","Meta AI","Meta",2025-12,301000
2026-06,ai,US,"United States","Meta AI","Meta",2026-01,301000
2026-06,ai,US,"United States","Meta AI","Meta",2026-02,246000
2026-06,ai,US,"United States","Meta AI","Meta",2026-03,246000
2026-06,ai,US,"United States","Meta AI","Meta",2026-04,301000
2026-06,ai,US,"United States","Meta AI","Meta",2026-05,246000
2026-06,ai,US,"United States","Qwen","Alibaba",2025-06,40500
2026-06,ai,US,"United States","Qwen","Alibaba",2025-07,40500
2026-06,ai,US,"United States","Qwen","Alibaba",2025-08,60500
2026-06,ai,US,"United States","Qwen","Alibaba",2025-09,60500
2026-06,ai,US,"United States","Qwen","Alibaba",2025-10,74000
2026-06,ai,US,"United States","Qwen","Alibaba",2025-11,74000
2026-06,ai,US,"United States","Qwen","Alibaba",2025-12,90500
2026-06,ai,US,"United States","Qwen","Alibaba",2026-01,74000
2026-06,ai,US,"United States","Qwen","Alibaba",2026-02,74000
2026-06,ai,US,"United States","Qwen","Alibaba",2026-03,90500
2026-06,ai,US,"United States","Qwen","Alibaba",2026-04,74000
2026-06,ai,US,"United States","Qwen","Alibaba",2026-05,74000
2026-06,ai,US,"United States","Mistral","Mistral AI",2025-06,22200
2026-06,ai,US,"United States","Mistral","Mistral AI",2025-07,22200
2026-06,ai,US,"United States","Mistral","Mistral AI",2025-08,22200
2026-06,ai,US,"United States","Mistral","Mistral AI",2025-09,27100
2026-06,ai,US,"United States","Mistral","Mistral AI",2025-10,22200
2026-06,ai,US,"United States","Mistral","Mistral AI",2025-11,18100
2026-06,ai,US,"United States","Mistral","Mistral AI",2025-12,22200
2026-06,ai,US,"United States","Mistral","Mistral AI",2026-01,22200
2026-06,ai,US,"United States","Mistral","Mistral AI",2026-02,27100
2026-06,ai,US,"United States","Mistral","Mistral AI",2026-03,27100
2026-06,ai,US,"United States","Mistral","Mistral AI",2026-04,22200
2026-06,ai,US,"United States","Mistral","Mistral AI",2026-05,27100
2026-06,ai,US,"United States","Doubao","ByteDance",2025-06,9900
2026-06,ai,US,"United States","Doubao","ByteDance",2025-07,9900
2026-06,ai,US,"United States","Doubao","ByteDance",2025-08,12100
2026-06,ai,US,"United States","Doubao","ByteDance",2025-09,14800
2026-06,ai,US,"United States","Doubao","ByteDance",2025-10,14800
2026-06,ai,US,"United States","Doubao","ByteDance",2025-11,14800
2026-06,ai,US,"United States","Doubao","ByteDance",2025-12,18100
2026-06,ai,US,"United States","Doubao","ByteDance",2026-01,22200
2026-06,ai,US,"United States","Doubao","ByteDance",2026-02,27100
2026-06,ai,US,"United States","Doubao","ByteDance",2026-03,40500
2026-06,ai,US,"United States","Doubao","ByteDance",2026-04,33100
2026-06,ai,US,"United States","Doubao","ByteDance",2026-05,33100
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2025-06,90500
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2025-07,90500
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2025-08,90500
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2025-09,74000
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2025-10,74000
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2025-11,74000
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2025-12,90500
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2026-01,74000
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2026-02,90500
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2026-03,201000
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2026-04,246000
2026-06,ai,US,"United States","GitHub Copilot","GitHub",2026-05,165000
2026-06,ai,US,"United States","Midjourney","Midjourney",2025-06,368000
2026-06,ai,US,"United States","Midjourney","Midjourney",2025-07,368000
2026-06,ai,US,"United States","Midjourney","Midjourney",2025-08,368000
2026-06,ai,US,"United States","Midjourney","Midjourney",2025-09,301000
2026-06,ai,US,"United States","Midjourney","Midjourney",2025-10,301000
2026-06,ai,US,"United States","Midjourney","Midjourney",2025-11,301000
2026-06,ai,US,"United States","Midjourney","Midjourney",2025-12,246000
2026-06,ai,US,"United States","Midjourney","Midjourney",2026-01,301000
2026-06,ai,US,"United States","Midjourney","Midjourney",2026-02,246000
2026-06,ai,US,"United States","Midjourney","Midjourney",2026-03,301000
2026-06,ai,US,"United States","Midjourney","Midjourney",2026-04,301000
2026-06,ai,US,"United States","Midjourney","Midjourney",2026-05,246000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2025-06,151000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2025-07,185000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2025-08,185000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2025-09,226000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2025-10,185000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2025-11,185000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2025-12,185000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2026-01,226000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2026-02,185000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2026-03,226000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2026-04,226000000
2026-06,ai,IN,"India","ChatGPT","OpenAI",2026-05,277000000
2026-06,ai,IN,"India","Gemini","Google",2025-06,5000000
2026-06,ai,IN,"India","Gemini","Google",2025-07,6120000
2026-06,ai,IN,"India","Gemini","Google",2025-08,6120000
2026-06,ai,IN,"India","Gemini","Google",2025-09,101000000
2026-06,ai,IN,"India","Gemini","Google",2025-10,37200000
2026-06,ai,IN,"India","Gemini","Google",2025-11,30400000
2026-06,ai,IN,"India","Gemini","Google",2025-12,37200000
2026-06,ai,IN,"India","Gemini","Google",2026-01,37200000
2026-06,ai,IN,"India","Gemini","Google",2026-02,30400000
2026-06,ai,IN,"India","Gemini","Google",2026-03,37200000
