snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,ai,WW,1,"ChatGPT","OpenAI",776290000,82.7,-6.4,26.4
2026-07,ai,WW,2,"Gemini","Google",103228000,11,-9.1,542.5
2026-07,ai,WW,3,"Claude","Anthropic",17066000,1.8,-2.2,995.6
2026-07,ai,WW,4,"Grok","xAI",12337000,1.3,-19.1,38
2026-07,ai,WW,5,"Perplexity","Perplexity AI",12140000,1.3,-19.4,-43.5
2026-07,ai,WW,6,"DeepSeek","DeepSeek",10027500,1.1,-10.7,-25.2
2026-07,ai,WW,7,"Meta AI","Meta",3332900,0.4,-4.1,64.6
2026-07,ai,WW,8,"Midjourney","Midjourney",1513700,0.2,-7.4,-35.6
2026-07,ai,WW,9,"Copilot","Microsoft",1200700,0.1,-9,22.2
2026-07,ai,WW,10,"Qwen","Alibaba",566300,0.1,-1.1,46.5
2026-07,ai,WW,11,"GitHub Copilot","GitHub",523500,0.1,-30.2,8.4
2026-07,ai,WW,12,"Mistral","Mistral AI",374080,0,3.4,62.4
2026-07,ai,WW,13,"Doubao","ByteDance",77920,0,-30.5,176.7
2026-07,ai,US,1,"ChatGPT","OpenAI",124000000,89.2,-18.5,0
2026-07,ai,US,2,"Gemini","Google",5000000,3.6,-18.3,233.3
2026-07,ai,US,3,"Claude","Anthropic",3350000,2.4,0,808.9
2026-07,ai,US,4,"Grok","xAI",2740000,2,-18.2,22.4
2026-07,ai,US,5,"Perplexity","Perplexity AI",1500000,1.1,-18,-18
2026-07,ai,US,6,"DeepSeek","DeepSeek",1220000,0.9,-18,-18
2026-07,ai,US,7,"Copilot","Microsoft",301000,0.2,-18.3,22.4
2026-07,ai,US,8,"Meta AI","Meta",301000,0.2,0,0
2026-07,ai,US,9,"Midjourney","Midjourney",301000,0.2,0,-33.2
2026-07,ai,US,10,"GitHub Copilot","GitHub",110000,0.1,-55.2,-18.2
2026-07,ai,US,11,"Qwen","Alibaba",74000,0.1,-18.2,49.4
2026-07,ai,US,12,"Mistral","Mistral AI",22200,0,0,22.1
2026-07,ai,US,13,"Doubao","ByteDance",22200,0,-18.1,173.7
2026-07,ai,IN,1,"ChatGPT","OpenAI",226000000,82,0,49.7
2026-07,ai,IN,2,"Gemini","Google",37200000,13.5,0,507.8
2026-07,ai,IN,3,"Perplexity","Perplexity AI",3350000,1.2,-18.7,-70.2
2026-07,ai,IN,4,"Claude","Anthropic",2740000,1,0,1011.4
2026-07,ai,IN,5,"DeepSeek","DeepSeek",2240000,0.8,0,-45.4
2026-07,ai,IN,6,"Grok","xAI",1830000,0.7,-18,0
2026-07,ai,IN,7,"Meta AI","Meta",1500000,0.5,0,50
2026-07,ai,IN,8,"Copilot","Microsoft",368000,0.1,0,0
2026-07,ai,IN,9,"Midjourney","Midjourney",165000,0.1,0,-45.1
2026-07,ai,IN,10,"GitHub Copilot","GitHub",110000,0,-45.2,-17.7
2026-07,ai,IN,11,"Qwen","Alibaba",74000,0,0,22.3
2026-07,ai,IN,12,"Mistral","Mistral AI",14800,0,22.3,0
2026-07,ai,IN,13,"Doubao","ByteDance",1600,0,0,229.5
2026-07,ai,GB,1,"ChatGPT","OpenAI",24900000,89.1,-18.1,0
2026-07,ai,GB,2,"Gemini","Google",823000,2.9,0,305.3
2026-07,ai,GB,3,"Claude","Anthropic",823000,2.9,0,1009.1
2026-07,ai,GB,4,"Grok","xAI",550000,2,-18.2,49.5
2026-07,ai,GB,5,"Perplexity","Perplexity AI",301000,1.1,-18.3,-33.2
2026-07,ai,GB,6,"DeepSeek","DeepSeek",301000,1.1,-18.3,-33.2
2026-07,ai,GB,7,"Copilot","Microsoft",90500,0.3,0,81.8
2026-07,ai,GB,8,"Midjourney","Midjourney",74000,0.3,0,-45.3
2026-07,ai,GB,9,"Meta AI","Meta",49500,0.2,0,49.4
2026-07,ai,GB,10,"GitHub Copilot","GitHub",18100,0.1,0,0
2026-07,ai,GB,11,"Qwen","Alibaba",14800,0.1,0,22.3
2026-07,ai,GB,12,"Mistral","Mistral AI",8100,0,22.2,49.4
2026-07,ai,GB,13,"Doubao","ByteDance",2400,0,0,123.1
2026-07,ai,CA,1,"ChatGPT","OpenAI",24900000,90.6,0,22.1
2026-07,ai,CA,2,"Gemini","Google",823000,3,0,395.9
2026-07,ai,CA,3,"Claude","Anthropic",550000,2,0,1009.1
2026-07,ai,CA,4,"Grok","xAI",450000,1.6,-18.2,22.3
2026-07,ai,CA,5,"Perplexity","Perplexity AI",301000,1.1,-17.9,-45.2
2026-07,ai,CA,6,"DeepSeek","DeepSeek",301000,1.1,-18.3,-33.2
2026-07,ai,CA,7,"Copilot","Microsoft",49500,0.2,0,22.2
2026-07,ai,CA,8,"Meta AI","Meta",40500,0.1,0,22.4
2026-07,ai,CA,9,"Midjourney","Midjourney",40500,0.1,0,-33.1
2026-07,ai,CA,10,"GitHub Copilot","GitHub",18100,0.1,-63.5,0
2026-07,ai,CA,11,"Qwen","Alibaba",12100,0,0,22.2
2026-07,ai,CA,12,"Mistral","Mistral AI",5400,0,22.2,50
2026-07,ai,CA,13,"Doubao","ByteDance",2900,0,-19.4,190
2026-07,ai,AU,1,"ChatGPT","OpenAI",16600000,90.1,0,22.1
2026-07,ai,AU,2,"Claude","Anthropic",550000,3,-18.7,1009.1
2026-07,ai,AU,3,"Gemini","Google",450000,2.4,-18.3,233.3
2026-07,ai,AU,4,"Grok","xAI",301000,1.6,-18.3,22.4
2026-07,ai,AU,5,"Perplexity","Perplexity AI",201000,1.1,-18.2,-32.8
2026-07,ai,AU,6,"DeepSeek","DeepSeek",201000,1.1,-32.8,-45.1
2026-07,ai,AU,7,"Copilot","Microsoft",40500,0.2,0,22.4
2026-07,ai,AU,8,"Midjourney","Midjourney",33100,0.2,0,-33.1
2026-07,ai,AU,9,"Meta AI","Meta",22200,0.1,0,22.1
