snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,coding,US,"United States","Claude Code","AI coding agent",2025-06,246000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2025-07,368000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2025-08,301000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2025-09,201000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2025-10,201000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2025-11,201000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2025-12,246000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2026-01,673000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2026-02,823000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2026-03,1000000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2026-04,823000
2026-06,coding,US,"United States","Claude Code","AI coding agent",2026-05,673000
2026-06,coding,US,"United States","VS Code","Editor",2025-06,201000
2026-06,coding,US,"United States","VS Code","Editor",2025-07,201000
2026-06,coding,US,"United States","VS Code","Editor",2025-08,246000
2026-06,coding,US,"United States","VS Code","Editor",2025-09,246000
2026-06,coding,US,"United States","VS Code","Editor",2025-10,246000
2026-06,coding,US,"United States","VS Code","Editor",2025-11,201000
2026-06,coding,US,"United States","VS Code","Editor",2025-12,201000
2026-06,coding,US,"United States","VS Code","Editor",2026-01,246000
2026-06,coding,US,"United States","VS Code","Editor",2026-02,246000
2026-06,coding,US,"United States","VS Code","Editor",2026-03,301000
2026-06,coding,US,"United States","VS Code","Editor",2026-04,301000
2026-06,coding,US,"United States","VS Code","Editor",2026-05,246000
2026-06,coding,US,"United States","Replit","Cloud IDE",2025-06,201000
2026-06,coding,US,"United States","Replit","Cloud IDE",2025-07,301000
2026-06,coding,US,"United States","Replit","Cloud IDE",2025-08,201000
2026-06,coding,US,"United States","Replit","Cloud IDE",2025-09,201000
2026-06,coding,US,"United States","Replit","Cloud IDE",2025-10,201000
2026-06,coding,US,"United States","Replit","Cloud IDE",2025-11,165000
2026-06,coding,US,"United States","Replit","Cloud IDE",2025-12,201000
2026-06,coding,US,"United States","Replit","Cloud IDE",2026-01,246000
2026-06,coding,US,"United States","Replit","Cloud IDE",2026-02,246000
2026-06,coding,US,"United States","Replit","Cloud IDE",2026-03,301000
2026-06,coding,US,"United States","Replit","Cloud IDE",2026-04,246000
2026-06,coding,US,"United States","Replit","Cloud IDE",2026-05,246000
2026-06,coding,US,"United States","Cursor","AI editor",2025-06,165000
2026-06,coding,US,"United States","Cursor","AI editor",2025-07,135000
2026-06,coding,US,"United States","Cursor","AI editor",2025-08,110000
2026-06,coding,US,"United States","Cursor","AI editor",2025-09,90500
2026-06,coding,US,"United States","Cursor","AI editor",2025-10,110000
2026-06,coding,US,"United States","Cursor","AI editor",2025-11,90500
2026-06,coding,US,"United States","Cursor","AI editor",2025-12,74000
2026-06,coding,US,"United States","Cursor","AI editor",2026-01,90500
2026-06,coding,US,"United States","Cursor","AI editor",2026-02,90500
2026-06,coding,US,"United States","Cursor","AI editor",2026-03,110000
2026-06,coding,US,"United States","Cursor","AI editor",2026-04,135000
2026-06,coding,US,"United States","Cursor","AI editor",2026-05,90500
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2025-06,90500
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2025-07,90500
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2025-08,90500
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2025-09,74000
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2025-10,74000
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2025-11,74000
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2025-12,90500
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2026-01,74000
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2026-02,90500
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2026-03,201000
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2026-04,246000
2026-06,coding,US,"United States","GitHub Copilot","AI assistant",2026-05,165000
2026-06,coding,US,"United States","Visual Studio","IDE",2025-06,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2025-07,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2025-08,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2025-09,90500
2026-06,coding,US,"United States","Visual Studio","IDE",2025-10,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2025-11,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2025-12,60500
2026-06,coding,US,"United States","Visual Studio","IDE",2026-01,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2026-02,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2026-03,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2026-04,74000
2026-06,coding,US,"United States","Visual Studio","IDE",2026-05,60500
2026-06,coding,US,"United States","PyCharm","IDE",2025-06,60500
2026-06,coding,US,"United States","PyCharm","IDE",2025-07,60500
2026-06,coding,US,"United States","PyCharm","IDE",2025-08,74000
2026-06,coding,US,"United States","PyCharm","IDE",2025-09,74000
2026-06,coding,US,"United States","PyCharm","IDE",2025-10,60500
2026-06,coding,US,"United States","PyCharm","IDE",2025-11,49500
2026-06,coding,US,"United States","PyCharm","IDE",2025-12,49500
2026-06,coding,US,"United States","PyCharm","IDE",2026-01,60500
2026-06,coding,US,"United States","PyCharm","IDE",2026-02,49500
2026-06,coding,US,"United States","PyCharm","IDE",2026-03,49500
2026-06,coding,US,"United States","PyCharm","IDE",2026-04,49500
2026-06,coding,US,"United States","PyCharm","IDE",2026-05,40500
2026-06,coding,US,"United States","Android Studio","IDE",2025-06,40500
2026-06,coding,US,"United States","Android Studio","IDE",2025-07,40500
2026-06,coding,US,"United States","Android Studio","IDE",2025-08,49500
2026-06,coding,US,"United States","Android Studio","IDE",2025-09,49500
2026-06,coding,US,"United States","Android Studio","IDE",2025-10,40500
2026-06,coding,US,"United States","Android Studio","IDE",2025-11,40500
2026-06,coding,US,"United States","Android Studio","IDE",2025-12,40500
2026-06,coding,US,"United States","Android Studio","IDE",2026-01,49500
2026-06,coding,US,"United States","Android Studio","IDE",2026-02,40500
2026-06,coding,US,"United States","Android Studio","IDE",2026-03,49500
2026-06,coding,US,"United States","Android Studio","IDE",2026-04,40500
2026-06,coding,US,"United States","Android Studio","IDE",2026-05,40500
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2025-06,33100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2025-07,33100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2025-08,40500
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2025-09,40500
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2025-10,33100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2025-11,33100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2025-12,27100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2026-01,40500
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2026-02,33100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2026-03,33100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2026-04,27100
2026-06,coding,US,"United States","IntelliJ IDEA","IDE",2026-05,22200
2026-06,coding,US,"United States","Xcode","IDE",2025-06,33100
2026-06,coding,US,"United States","Xcode","IDE",2025-07,33100
2026-06,coding,US,"United States","Xcode","IDE",2025-08,33100
2026-06,coding,US,"United States","Xcode","IDE",2025-09,33100
2026-06,coding,US,"United States","Xcode","IDE",2025-10,33100
2026-06,coding,US,"United States","Xcode","IDE",2025-11,33100
2026-06,coding,US,"United States","Xcode","IDE",2025-12,33100
2026-06,coding,US,"United States","Xcode","IDE",2026-01,33100
2026-06,coding,US,"United States","Xcode","IDE",2026-02,40500
2026-06,coding,US,"United States","Xcode","IDE",2026-03,40500
2026-06,coding,US,"United States","Xcode","IDE",2026-04,33100
2026-06,coding,US,"United States","Xcode","IDE",2026-05,33100
2026-06,coding,US,"United States","Sublime Text","Editor",2025-06,27100
2026-06,coding,US,"United States","Sublime Text","Editor",2025-07,33100
2026-06,coding,US,"United States","Sublime Text","Editor",2025-08,33100
2026-06,coding,US,"United States","Sublime Text","Editor",2025-09,33100
2026-06,coding,US,"United States","Sublime Text","Editor",2025-10,33100
2026-06,coding,US,"United States","Sublime Text","Editor",2025-11,27100
2026-06,coding,US,"United States","Sublime Text","Editor",2025-12,22200
2026-06,coding,US,"United States","Sublime Text","Editor",2026-01,27100
2026-06,coding,US,"United States","Sublime Text","Editor",2026-02,27100
2026-06,coding,US,"United States","Sublime Text","Editor",2026-03,27100
