snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-06,coding,WW,1,"Claude Code","AI coding agent",1947800,25.6,-20.3,269.7
2026-06,coding,WW,2,"VS Code","Editor",1704100,22.4,-4.7,10.6
2026-06,coding,WW,3,"Replit","Cloud IDE",1039900,13.7,-0.2,27.1
2026-06,coding,WW,4,"Cursor","AI editor",533000,7,-26.3,-37.1
2026-06,coding,WW,5,"GitHub Copilot","AI assistant",512400,6.7,-22.4,54
2026-06,coding,WW,6,"Visual Studio","IDE",473800,6.2,-12.4,-18.4
2026-06,coding,WW,7,"Android Studio","IDE",395000,5.2,-5,3.1
2026-06,coding,WW,8,"PyCharm","IDE",300500,3.9,-10.1,-25.2
2026-06,coding,WW,9,"IntelliJ IDEA","IDE",203900,2.7,-13.9,-26.4
2026-06,coding,WW,10,"Sublime Text","Editor",147280,1.9,-6.4,-24.1
2026-06,coding,WW,11,"Xcode","IDE",110400,1.4,-8.3,-4.1
2026-06,coding,WW,12,"Neovim","Editor",82760,1.1,-10.5,-1
2026-06,coding,WW,13,"Windsurf","AI editor",48340,0.6,-2.1,-58.2
2026-06,coding,WW,14,"Amazon Q","AI assistant",44650,0.6,-13.1,-58.2
2026-06,coding,WW,15,"Eclipse","IDE",40950,0.5,-17.3,-31.8
2026-06,coding,WW,16,"Zed","Editor",30950,0.4,17.6,113.4
2026-06,coding,US,1,"Claude Code","AI coding agent",450000,30.1,-18.2,173.6
2026-06,coding,US,2,"VS Code","Editor",246000,16.4,-18.3,22.4
2026-06,coding,US,3,"Replit","Cloud IDE",246000,16.4,0,22.4
2026-06,coding,US,4,"Cursor","AI editor",110000,7.4,-33,-45.2
2026-06,coding,US,5,"GitHub Copilot","AI assistant",110000,7.4,-32.9,82.3
2026-06,coding,US,6,"Visual Studio","IDE",74000,4.9,-18.2,-18.2
2026-06,coding,US,7,"PyCharm","IDE",60500,4,-18.2,-33.1
2026-06,coding,US,8,"Android Studio","IDE",40500,2.7,0,0
2026-06,coding,US,9,"IntelliJ IDEA","IDE",33100,2.2,-18.1,-32.9
2026-06,coding,US,10,"Xcode","IDE",33100,2.2,0,0
