snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,crypto,US,"United States","MEXC","Exchange",2025-06,1220000
2026-06,crypto,US,"United States","MEXC","Exchange",2025-07,1000000
2026-06,crypto,US,"United States","MEXC","Exchange",2025-08,823000
2026-06,crypto,US,"United States","MEXC","Exchange",2025-09,1500000
2026-06,crypto,US,"United States","MEXC","Exchange",2025-10,1220000
2026-06,crypto,US,"United States","MEXC","Exchange",2025-11,1000000
2026-06,crypto,US,"United States","MEXC","Exchange",2025-12,823000
2026-06,crypto,US,"United States","MEXC","Exchange",2026-01,1220000
2026-06,crypto,US,"United States","MEXC","Exchange",2026-02,2740000
2026-06,crypto,US,"United States","MEXC","Exchange",2026-03,1220000
2026-06,crypto,US,"United States","MEXC","Exchange",2026-04,823000
2026-06,crypto,US,"United States","MEXC","Exchange",2026-05,1000000
2026-06,crypto,US,"United States","Coinbase","Exchange",2025-06,823000
2026-06,crypto,US,"United States","Coinbase","Exchange",2025-07,1500000
2026-06,crypto,US,"United States","Coinbase","Exchange",2025-08,1220000
2026-06,crypto,US,"United States","Coinbase","Exchange",2025-09,1500000
2026-06,crypto,US,"United States","Coinbase","Exchange",2025-10,1220000
2026-06,crypto,US,"United States","Coinbase","Exchange",2025-11,823000
2026-06,crypto,US,"United States","Coinbase","Exchange",2025-12,673000
2026-06,crypto,US,"United States","Coinbase","Exchange",2026-01,673000
2026-06,crypto,US,"United States","Coinbase","Exchange",2026-02,823000
2026-06,crypto,US,"United States","Coinbase","Exchange",2026-03,673000
2026-06,crypto,US,"United States","Coinbase","Exchange",2026-04,550000
2026-06,crypto,US,"United States","Coinbase","Exchange",2026-05,550000
2026-06,crypto,US,"United States","Kraken","Exchange",2025-06,246000
2026-06,crypto,US,"United States","Kraken","Exchange",2025-07,301000
2026-06,crypto,US,"United States","Kraken","Exchange",2025-08,301000
2026-06,crypto,US,"United States","Kraken","Exchange",2025-09,301000
2026-06,crypto,US,"United States","Kraken","Exchange",2025-10,368000
2026-06,crypto,US,"United States","Kraken","Exchange",2025-11,368000
2026-06,crypto,US,"United States","Kraken","Exchange",2025-12,301000
2026-06,crypto,US,"United States","Kraken","Exchange",2026-01,368000
2026-06,crypto,US,"United States","Kraken","Exchange",2026-02,301000
2026-06,crypto,US,"United States","Kraken","Exchange",2026-03,368000
2026-06,crypto,US,"United States","Kraken","Exchange",2026-04,368000
2026-06,crypto,US,"United States","Kraken","Exchange",2026-05,301000
2026-06,crypto,US,"United States","Binance","Exchange",2025-06,110000
2026-06,crypto,US,"United States","Binance","Exchange",2025-07,135000
2026-06,crypto,US,"United States","Binance","Exchange",2025-08,135000
2026-06,crypto,US,"United States","Binance","Exchange",2025-09,110000
2026-06,crypto,US,"United States","Binance","Exchange",2025-10,165000
2026-06,crypto,US,"United States","Binance","Exchange",2025-11,110000
2026-06,crypto,US,"United States","Binance","Exchange",2025-12,90500
2026-06,crypto,US,"United States","Binance","Exchange",2026-01,110000
2026-06,crypto,US,"United States","Binance","Exchange",2026-02,110000
2026-06,crypto,US,"United States","Binance","Exchange",2026-03,90500
2026-06,crypto,US,"United States","Binance","Exchange",2026-04,74000
2026-06,crypto,US,"United States","Binance","Exchange",2026-05,90500
2026-06,crypto,US,"United States","MetaMask","Wallet",2025-06,60500
2026-06,crypto,US,"United States","MetaMask","Wallet",2025-07,74000
2026-06,crypto,US,"United States","MetaMask","Wallet",2025-08,90500
2026-06,crypto,US,"United States","MetaMask","Wallet",2025-09,60500
2026-06,crypto,US,"United States","MetaMask","Wallet",2025-10,74000
2026-06,crypto,US,"United States","MetaMask","Wallet",2025-11,135000
2026-06,crypto,US,"United States","MetaMask","Wallet",2025-12,49500
2026-06,crypto,US,"United States","MetaMask","Wallet",2026-01,40500
2026-06,crypto,US,"United States","MetaMask","Wallet",2026-02,49500
2026-06,crypto,US,"United States","MetaMask","Wallet",2026-03,40500
2026-06,crypto,US,"United States","MetaMask","Wallet",2026-04,33100
2026-06,crypto,US,"United States","MetaMask","Wallet",2026-05,33100
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2025-06,40500
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2025-07,49500
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2025-08,40500
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2025-09,40500
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2025-10,40500
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2025-11,33100
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2025-12,33100
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2026-01,33100
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2026-02,27100
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2026-03,27100
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2026-04,27100
2026-06,crypto,US,"United States","Trust Wallet","Wallet",2026-05,27100
2026-06,crypto,US,"United States","OKX","Exchange",2025-06,60500
2026-06,crypto,US,"United States","OKX","Exchange",2025-07,33100
2026-06,crypto,US,"United States","OKX","Exchange",2025-08,33100
2026-06,crypto,US,"United States","OKX","Exchange",2025-09,27100
2026-06,crypto,US,"United States","OKX","Exchange",2025-10,33100
2026-06,crypto,US,"United States","OKX","Exchange",2025-11,27100
2026-06,crypto,US,"United States","OKX","Exchange",2025-12,33100
2026-06,crypto,US,"United States","OKX","Exchange",2026-01,33100
2026-06,crypto,US,"United States","OKX","Exchange",2026-02,27100
2026-06,crypto,US,"United States","OKX","Exchange",2026-03,33100
2026-06,crypto,US,"United States","OKX","Exchange",2026-04,33100
2026-06,crypto,US,"United States","OKX","Exchange",2026-05,49500
2026-06,crypto,US,"United States","Bybit","Exchange",2025-06,33100
