snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,crypto,WW,1,"Binance","Exchange",1848700,29.3,13.2,-33.1
2026-07,crypto,WW,2,"Coinbase","Exchange",1446500,22.9,-2.2,-58.8
2026-07,crypto,WW,3,"Kraken","Exchange",901100,14.3,-1.3,3.4
2026-07,crypto,WW,4,"MetaMask","Wallet",444900,7.1,-79.7,-57.3
2026-07,crypto,WW,5,"Bybit","Exchange",387700,6.1,-2.3,-50.6
2026-07,crypto,WW,6,"OKX","Exchange",321200,5.1,-3.2,-18.2
2026-07,crypto,WW,7,"MEXC","Exchange",257400,4.1,-20.4,-47.9
2026-07,crypto,WW,8,"Bitget","Exchange",221380,3.5,-2.3,-44.4
2026-07,crypto,WW,9,"Trust Wallet","Wallet",151800,2.4,6.9,-30.5
2026-07,crypto,WW,10,"KuCoin","Exchange",115920,1.8,1.3,-57.3
2026-07,crypto,WW,11,"Phantom","Wallet",77270,1.2,-4.5,-58.2
2026-07,crypto,WW,12,"Crypto.com","Exchange",58250,0.9,27.7,-24.4
2026-07,crypto,WW,13,"Exodus","Wallet",27430,0.4,-7.5,-50.2
2026-07,crypto,WW,14,"Ledger","Wallet",24180,0.4,1.5,-35.2
2026-07,crypto,WW,15,"Blockchain.com","Wallet",11990,0.2,-12.2,-55.3
2026-07,crypto,WW,16,"Gemini","Exchange",9300,0.1,-29.5,-38.1
2026-07,crypto,US,1,"Coinbase","Exchange",823000,54.5,0,-63.3
2026-07,crypto,US,2,"Kraken","Exchange",301000,19.9,-18.3,-18.3
2026-07,crypto,US,3,"Binance","Exchange",110000,7.3,-18.2,-45.2
2026-07,crypto,US,4,"MetaMask","Wallet",60500,4,-18.1,-63.4
2026-07,crypto,US,5,"Trust Wallet","Wallet",33100,2.2,0,-45.3
2026-07,crypto,US,6,"OKX","Exchange",33100,2.2,-45.3,-18.1
2026-07,crypto,US,7,"Bybit","Exchange",27100,1.8,0,-32.9
2026-07,crypto,US,8,"Phantom","Wallet",27100,1.8,-18.2,-63.5
2026-07,crypto,US,9,"Crypto.com","Exchange",22200,1.5,22.3,-33.2
2026-07,crypto,US,10,"MEXC","Exchange",14800,1,0,-63.5
2026-07,crypto,US,11,"KuCoin","Exchange",14800,1,0,-70.1
2026-07,crypto,US,12,"Bitget","Exchange",12100,0.8,0,-33.1
2026-07,crypto,US,13,"Exodus","Wallet",12100,0.8,-18.5,-55.4
2026-07,crypto,US,14,"Ledger","Wallet",9900,0.7,-18.5,-55.4
2026-07,crypto,US,15,"Gemini","Exchange",5400,0.4,-19.4,-56.1
2026-07,crypto,US,16,"Blockchain.com","Wallet",2900,0.2,-15.8,-63.6
2026-07,crypto,IN,1,"Binance","Exchange",246000,49.3,0,-18.3
2026-07,crypto,IN,2,"Coinbase","Exchange",40500,8.1,0,-33.1
2026-07,crypto,IN,3,"Kraken","Exchange",33100,6.6,0,22.4
2026-07,crypto,IN,4,"MetaMask","Wallet",33100,6.6,-45.3,-55.3
2026-07,crypto,IN,5,"Trust Wallet","Wallet",27100,5.4,22.1,0
2026-07,crypto,IN,6,"Bybit","Exchange",27100,5.4,0,-75.5
2026-07,crypto,IN,7,"Bitget","Exchange",27100,5.4,0,-45.2
2026-07,crypto,IN,8,"OKX","Exchange",22200,4.4,0,-33.2
2026-07,crypto,IN,9,"MEXC","Exchange",18100,3.6,-18.5,-75.6
2026-07,crypto,IN,10,"KuCoin","Exchange",12100,2.4,49.4,-33.1
2026-07,crypto,IN,11,"Phantom","Wallet",5400,1.1,0,-55.6
2026-07,crypto,IN,12,"Crypto.com","Exchange",2900,0.6,-33.3,-55.6
2026-07,crypto,IN,13,"Ledger","Wallet",1600,0.3,0,-55.2
2026-07,crypto,IN,14,"Blockchain.com","Wallet",1300,0.3,-18.2,-62.1
2026-07,crypto,IN,15,"Gemini","Exchange",1000,0.2,-45.5,515.4
2026-07,crypto,IN,16,"Exodus","Wallet",880,0.2,0,-44.6
2026-07,crypto,GB,1,"Coinbase","Exchange",110000,33.8,0,-63.2
2026-07,crypto,GB,2,"Kraken","Exchange",74000,22.7,0,-18.2
2026-07,crypto,GB,3,"Binance","Exchange",49500,15.2,0,-45.3
2026-07,crypto,GB,4,"MEXC","Exchange",18100,5.6,-45.3,-70.1
2026-07,crypto,GB,5,"MetaMask","Wallet",14800,4.5,-18.5,-55.4
2026-07,crypto,GB,6,"Bybit","Exchange",12100,3.7,0,-55.2
2026-07,crypto,GB,7,"Trust Wallet","Wallet",9900,3,0,-45.5
2026-07,crypto,GB,8,"OKX","Exchange",8100,2.5,-18.2,-45.5
2026-07,crypto,GB,9,"KuCoin","Exchange",8100,2.5,0,-63.5
2026-07,crypto,GB,10,"Phantom","Wallet",5400,1.7,0,-64.2
2026-07,crypto,GB,11,"Bitget","Exchange",5400,1.7,0,-33.3
2026-07,crypto,GB,12,"Crypto.com","Exchange",4400,1.4,-19.4,-46.3
2026-07,crypto,GB,13,"Exodus","Wallet",2400,0.7,-15.8,-55.6
2026-07,crypto,GB,14,"Ledger","Wallet",1600,0.5,23.1,-15.8
2026-07,crypto,GB,15,"Blockchain.com","Wallet",1300,0.4,13.6,-37.5
