snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,design,US,"United States","Canva","All-in-one",2025-06,13600000
2026-06,design,US,"United States","Canva","All-in-one",2025-07,13600000
2026-06,design,US,"United States","Canva","All-in-one",2025-08,24900000
2026-06,design,US,"United States","Canva","All-in-one",2025-09,30400000
2026-06,design,US,"United States","Canva","All-in-one",2025-10,30400000
2026-06,design,US,"United States","Canva","All-in-one",2025-11,24900000
2026-06,design,US,"United States","Canva","All-in-one",2025-12,24900000
2026-06,design,US,"United States","Canva","All-in-one",2026-01,24900000
2026-06,design,US,"United States","Canva","All-in-one",2026-02,24900000
2026-06,design,US,"United States","Canva","All-in-one",2026-03,30400000
2026-06,design,US,"United States","Canva","All-in-one",2026-04,30400000
2026-06,design,US,"United States","Canva","All-in-one",2026-05,30400000
2026-06,design,US,"United States","Figma","UI/UX",2025-06,368000
2026-06,design,US,"United States","Figma","UI/UX",2025-07,823000
2026-06,design,US,"United States","Figma","UI/UX",2025-08,673000
2026-06,design,US,"United States","Figma","UI/UX",2025-09,450000
2026-06,design,US,"United States","Figma","UI/UX",2025-10,550000
2026-06,design,US,"United States","Figma","UI/UX",2025-11,450000
2026-06,design,US,"United States","Figma","UI/UX",2025-12,368000
2026-06,design,US,"United States","Figma","UI/UX",2026-01,450000
2026-06,design,US,"United States","Figma","UI/UX",2026-02,450000
2026-06,design,US,"United States","Figma","UI/UX",2026-03,550000
2026-06,design,US,"United States","Figma","UI/UX",2026-04,550000
2026-06,design,US,"United States","Figma","UI/UX",2026-05,450000
2026-06,design,US,"United States","Photopea","Photo editor",2025-06,368000
2026-06,design,US,"United States","Photopea","Photo editor",2025-07,368000
2026-06,design,US,"United States","Photopea","Photo editor",2025-08,450000
2026-06,design,US,"United States","Photopea","Photo editor",2025-09,550000
2026-06,design,US,"United States","Photopea","Photo editor",2025-10,550000
2026-06,design,US,"United States","Photopea","Photo editor",2025-11,450000
2026-06,design,US,"United States","Photopea","Photo editor",2025-12,450000
2026-06,design,US,"United States","Photopea","Photo editor",2026-01,450000
2026-06,design,US,"United States","Photopea","Photo editor",2026-02,450000
2026-06,design,US,"United States","Photopea","Photo editor",2026-03,450000
2026-06,design,US,"United States","Photopea","Photo editor",2026-04,450000
2026-06,design,US,"United States","Photopea","Photo editor",2026-05,450000
2026-06,design,US,"United States","Photoshop","Image editing",2025-06,246000
2026-06,design,US,"United States","Photoshop","Image editing",2025-07,246000
2026-06,design,US,"United States","Photoshop","Image editing",2025-08,301000
2026-06,design,US,"United States","Photoshop","Image editing",2025-09,368000
2026-06,design,US,"United States","Photoshop","Image editing",2025-10,368000
2026-06,design,US,"United States","Photoshop","Image editing",2025-11,301000
2026-06,design,US,"United States","Photoshop","Image editing",2025-12,301000
2026-06,design,US,"United States","Photoshop","Image editing",2026-01,301000
2026-06,design,US,"United States","Photoshop","Image editing",2026-02,246000
2026-06,design,US,"United States","Photoshop","Image editing",2026-03,301000
2026-06,design,US,"United States","Photoshop","Image editing",2026-04,301000
2026-06,design,US,"United States","Photoshop","Image editing",2026-05,246000
2026-06,design,US,"United States","GIMP","Image editing",2025-06,165000
2026-06,design,US,"United States","GIMP","Image editing",2025-07,201000
2026-06,design,US,"United States","GIMP","Image editing",2025-08,201000
2026-06,design,US,"United States","GIMP","Image editing",2025-09,201000
2026-06,design,US,"United States","GIMP","Image editing",2025-10,201000
2026-06,design,US,"United States","GIMP","Image editing",2025-11,165000
2026-06,design,US,"United States","GIMP","Image editing",2025-12,165000
2026-06,design,US,"United States","GIMP","Image editing",2026-01,165000
2026-06,design,US,"United States","GIMP","Image editing",2026-02,135000
2026-06,design,US,"United States","GIMP","Image editing",2026-03,135000
2026-06,design,US,"United States","GIMP","Image editing",2026-04,135000
2026-06,design,US,"United States","GIMP","Image editing",2026-05,135000
2026-06,design,US,"United States","Miro","Whiteboard",2025-06,135000
2026-06,design,US,"United States","Miro","Whiteboard",2025-07,135000
2026-06,design,US,"United States","Miro","Whiteboard",2025-08,135000
2026-06,design,US,"United States","Miro","Whiteboard",2025-09,165000
2026-06,design,US,"United States","Miro","Whiteboard",2025-10,165000
2026-06,design,US,"United States","Miro","Whiteboard",2025-11,135000
2026-06,design,US,"United States","Miro","Whiteboard",2025-12,110000
2026-06,design,US,"United States","Miro","Whiteboard",2026-01,165000
2026-06,design,US,"United States","Miro","Whiteboard",2026-02,165000
2026-06,design,US,"United States","Miro","Whiteboard",2026-03,165000
2026-06,design,US,"United States","Miro","Whiteboard",2026-04,135000
2026-06,design,US,"United States","Miro","Whiteboard",2026-05,135000
