snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-06,design,WW,1,"Canva","All-in-one",116573000,91.9,3.8,32.3
2026-06,design,WW,2,"Figma","UI/UX",3563600,2.8,-6.1,11.4
2026-06,design,WW,3,"Photopea","Photo editor",2253100,1.8,-0.5,2
2026-06,design,WW,4,"Photoshop","Image editing",1321300,1,-8.3,-16.8
2026-06,design,WW,5,"Miro","Whiteboard",1064800,0.8,-7.4,-3.7
2026-06,design,WW,6,"GIMP","Image editing",661500,0.5,-7.1,-18.9
2026-06,design,WW,7,"Adobe Illustrator","Vector",362900,0.3,-9.2,-13.7
2026-06,design,WW,8,"Procreate","Illustration",349200,0.3,0.6,-11.1
2026-06,design,WW,9,"Zeplin","Handoff",287590,0.2,4.1,-3.3
2026-06,design,WW,10,"FigJam","Whiteboard",113860,0.1,-6,-26
2026-06,design,WW,11,"Affinity Designer","Vector",90880,0.1,-7.4,-22.9
2026-06,design,WW,12,"Adobe XD","UI/UX",47670,0,-16.7,-62.4
2026-06,design,WW,13,"Penpot","UI/UX",43850,0,-6,30.8
2026-06,design,WW,14,"Lunacy","UI/UX",26650,0,-9.8,6.3
2026-06,design,WW,15,"InVision","Prototyping",25980,0,-16.6,-41.5
2026-06,design,WW,16,"Sketch","UI/UX",20640,0,0,-18.8
2026-06,design,US,1,"Canva","All-in-one",24900000,92.6,0,123.5
2026-06,design,US,2,"Figma","UI/UX",550000,2,-18.2,22.3
2026-06,design,US,3,"Photopea","Photo editor",450000,1.7,0,22.3
2026-06,design,US,4,"Photoshop","Image editing",301000,1.1,-18.3,0
2026-06,design,US,5,"GIMP","Image editing",165000,0.6,0,-18.2
2026-06,design,US,6,"Miro","Whiteboard",135000,0.5,0,0
2026-06,design,US,7,"Adobe Illustrator","Vector",110000,0.4,-17.7,0
2026-06,design,US,8,"Procreate","Illustration",110000,0.4,0,0
2026-06,design,US,9,"Zeplin","Handoff",74000,0.3,0,0
2026-06,design,US,10,"FigJam","Whiteboard",40500,0.2,0,-18.1
2026-06,design,US,11,"Affinity Designer","Vector",22200,0.1,0,-18.2
2026-06,design,US,12,"InVision","Prototyping",12100,0,-18.2,-33.1
2026-06,design,US,13,"Lunacy","UI/UX",9900,0,-18.2,0
2026-06,design,US,14,"Adobe XD","UI/UX",8100,0,-33.3,-63.6
2026-06,design,US,15,"Sketch","UI/UX",6600,0,0,22.2
2026-06,design,US,16,"Penpot","UI/UX",5400,0,-18.2,22.7
2026-06,design,IN,1,"Canva","All-in-one",11100000,86.4,-17.7,0
2026-06,design,IN,2,"Figma","UI/UX",823000,6.4,-18.2,-18.2
2026-06,design,IN,3,"Photopea","Photo editor",450000,3.5,0,-18.2
2026-06,design,IN,4,"Photoshop","Image editing",246000,1.9,0,-18.3
2026-06,design,IN,5,"Miro","Whiteboard",60500,0.5,-18.2,-18.2
2026-06,design,IN,6,"GIMP","Image editing",40500,0.3,0,-33.1
2026-06,design,IN,7,"Adobe Illustrator","Vector",40500,0.3,0,-33.1
2026-06,design,IN,8,"Procreate","Illustration",27100,0.2,0,0
2026-06,design,IN,9,"Zeplin","Handoff",12100,0.1,0,-18.2
2026-06,design,IN,10,"FigJam","Whiteboard",9900,0.1,0,-33.3
2026-06,design,IN,11,"Adobe XD","UI/UX",9900,0.1,0,-70.3
2026-06,design,IN,12,"Penpot","UI/UX",8100,0.1,-18.5,22.2
2026-06,design,IN,13,"Sketch","UI/UX",5400,0,0,-45.7
2026-06,design,IN,14,"Affinity Designer","Vector",4400,0,-20.8,-47.2
2026-06,design,IN,15,"InVision","Prototyping",2900,0,-20.8,-56.8
2026-06,design,IN,16,"Lunacy","UI/UX",2900,0,0,0
2026-06,design,GB,1,"Canva","All-in-one",2740000,82.3,0,0
2026-06,design,GB,2,"Photopea","Photo editor",201000,6,0,-18.3
2026-06,design,GB,3,"Figma","UI/UX",110000,3.3,0,0
2026-06,design,GB,4,"Photoshop","Image editing",74000,2.2,-18.2,-33.1
2026-06,design,GB,5,"Miro","Whiteboard",74000,2.2,-18.2,-18.2
2026-06,design,GB,6,"GIMP","Image editing",49500,1.5,0,-18.2
2026-06,design,GB,7,"Procreate","Illustration",22200,0.7,0,-18.5
2026-06,design,GB,8,"Adobe Illustrator","Vector",18100,0.5,0,-18.2
2026-06,design,GB,9,"Zeplin","Handoff",12100,0.4,0,-18.2
2026-06,design,GB,10,"FigJam","Whiteboard",9900,0.3,-18.2,-45.5
2026-06,design,GB,11,"Affinity Designer","Vector",6600,0.2,0,-33.3
2026-06,design,GB,12,"Penpot","UI/UX",6600,0.2,0,0
2026-06,design,GB,13,"InVision","Prototyping",1900,0.1,-18.7,-45.8
2026-06,design,GB,14,"Adobe XD","UI/UX",1900,0.1,-32.3,-69.7
2026-06,design,GB,15,"Lunacy","UI/UX",1300,0,0,0
2026-06,design,GB,16,"Sketch","UI/UX",1300,0,0,-37.5
2026-06,design,CA,1,"Canva","All-in-one",4090000,92.4,0,22.2
2026-06,design,CA,2,"Figma","UI/UX",90500,2,-18.2,0
2026-06,design,CA,3,"Photopea","Photo editor",90500,2,0,22.3
2026-06,design,CA,4,"Photoshop","Image editing",40500,0.9,0,0
2026-06,design,CA,5,"Miro","Whiteboard",40500,0.9,0,0
2026-06,design,CA,6,"GIMP","Image editing",22200,0.5,-18.5,-18.5
2026-06,design,CA,7,"Procreate","Illustration",14800,0.3,0,-18.2
2026-06,design,CA,8,"Adobe Illustrator","Vector",12100,0.3,0,0
2026-06,design,CA,9,"Zeplin","Handoff",8100,0.2,-18.5,-33.3
2026-06,design,CA,10,"FigJam","Whiteboard",6600,0.1,0,0
2026-06,design,CA,11,"Affinity Designer","Vector",4400,0.1,-17.2,-17.2
2026-06,design,CA,12,"InVision","Prototyping",1300,0,0,-37.5
2026-06,design,CA,13,"Adobe XD","UI/UX",1300,0,-18.2,-55
2026-06,design,CA,14,"Penpot","UI/UX",1300,0,-37.5,0
2026-06,design,CA,15,"Lunacy","UI/UX",880,0,-12,0
2026-06,design,CA,16,"Sketch","UI/UX",720,0,0,0
2026-06,design,AU,1,"Canva","All-in-one",3350000,93.8,49.3,0
2026-06,design,AU,2,"Figma","UI/UX",60500,1.7,0,22.3
2026-06,design,AU,3,"Photopea","Photo editor",40500,1.1,22.2,22.2
2026-06,design,AU,4,"Miro","Whiteboard",33100,0.9,0,-18.3
2026-06,design,AU,5,"Photoshop","Image editing",27100,0.8,0,-18.1
2026-06,design,AU,6,"GIMP","Image editing",18100,0.5,22.3,0
2026-06,design,AU,7,"Adobe Illustrator","Vector",12100,0.3,22.3,0
2026-06,design,AU,8,"Procreate","Illustration",12100,0.3,22.2,-18.2
2026-06,design,AU,9,"FigJam","Whiteboard",6600,0.2,-18.2,0
2026-06,design,AU,10,"Zeplin","Handoff",5400,0.2,0,-18.2
2026-06,design,AU,11,"Affinity Designer","Vector",2900,0.1,-15.8,-15.8
2026-06,design,AU,12,"Adobe XD","UI/UX",1300,0,13.6,-47.4
2026-06,design,AU,13,"Penpot","UI/UX",1300,0,30,47.7
2026-06,design,AU,14,"InVision","Prototyping",880,0,0,-44.6
2026-06,design,AU,15,"Sketch","UI/UX",720,0,50,-18.2
2026-06,design,AU,16,"Lunacy","UI/UX",590,0,0,-18.1
2026-06,design,DE,1,"Canva","All-in-one",1500000,76.4,0,22
2026-06,design,DE,2,"Figma","UI/UX",110000,5.6,0,21.5
2026-06,design,DE,3,"Miro","Whiteboard",90500,4.6,-18.2,0
2026-06,design,DE,4,"Photopea","Photo editor",60500,3.1,0,0
2026-06,design,DE,5,"GIMP","Image editing",60500,3.1,-18.2,-33.1
2026-06,design,DE,6,"Zeplin","Handoff",49500,2.5,22.2,0
2026-06,design,DE,7,"Photoshop","Image editing",40500,2.1,0,-33.1
