snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,formats,US,"United States","PDF","Document",2025-06,201000
2026-06,formats,US,"United States","PDF","Document",2025-07,246000
2026-06,formats,US,"United States","PDF","Document",2025-08,301000
2026-06,formats,US,"United States","PDF","Document",2025-09,368000
2026-06,formats,US,"United States","PDF","Document",2025-10,450000
2026-06,formats,US,"United States","PDF","Document",2025-11,823000
2026-06,formats,US,"United States","PDF","Document",2025-12,1220000
2026-06,formats,US,"United States","PDF","Document",2026-01,673000
2026-06,formats,US,"United States","PDF","Document",2026-02,450000
2026-06,formats,US,"United States","PDF","Document",2026-03,246000
2026-06,formats,US,"United States","PDF","Document",2026-04,246000
2026-06,formats,US,"United States","PDF","Document",2026-05,246000
2026-06,formats,US,"United States","JPG","Raster image",2025-06,74000
2026-06,formats,US,"United States","JPG","Raster image",2025-07,74000
2026-06,formats,US,"United States","JPG","Raster image",2025-08,110000
2026-06,formats,US,"United States","JPG","Raster image",2025-09,135000
2026-06,formats,US,"United States","JPG","Raster image",2025-10,165000
2026-06,formats,US,"United States","JPG","Raster image",2025-11,450000
2026-06,formats,US,"United States","JPG","Raster image",2025-12,673000
2026-06,formats,US,"United States","JPG","Raster image",2026-01,301000
2026-06,formats,US,"United States","JPG","Raster image",2026-02,246000
2026-06,formats,US,"United States","JPG","Raster image",2026-03,135000
2026-06,formats,US,"United States","JPG","Raster image",2026-04,135000
2026-06,formats,US,"United States","JPG","Raster image",2026-05,135000
2026-06,formats,US,"United States","PNG","Raster image",2025-06,60500
2026-06,formats,US,"United States","PNG","Raster image",2025-07,60500
2026-06,formats,US,"United States","PNG","Raster image",2025-08,90500
2026-06,formats,US,"United States","PNG","Raster image",2025-09,90500
2026-06,formats,US,"United States","PNG","Raster image",2025-10,110000
2026-06,formats,US,"United States","PNG","Raster image",2025-11,201000
2026-06,formats,US,"United States","PNG","Raster image",2025-12,246000
2026-06,formats,US,"United States","PNG","Raster image",2026-01,165000
2026-06,formats,US,"United States","PNG","Raster image",2026-02,135000
2026-06,formats,US,"United States","PNG","Raster image",2026-03,90500
2026-06,formats,US,"United States","PNG","Raster image",2026-04,90500
2026-06,formats,US,"United States","PNG","Raster image",2026-05,90500
2026-06,formats,US,"United States","GIF","Animation",2025-06,673000
2026-06,formats,US,"United States","GIF","Animation",2025-07,550000
2026-06,formats,US,"United States","GIF","Animation",2025-08,1000000
2026-06,formats,US,"United States","GIF","Animation",2025-09,1500000
2026-06,formats,US,"United States","GIF","Animation",2025-10,1500000
2026-06,formats,US,"United States","GIF","Animation",2025-11,1220000
2026-06,formats,US,"United States","GIF","Animation",2025-12,1220000
2026-06,formats,US,"United States","GIF","Animation",2026-01,1220000
2026-06,formats,US,"United States","GIF","Animation",2026-02,1220000
2026-06,formats,US,"United States","GIF","Animation",2026-03,1220000
2026-06,formats,US,"United States","GIF","Animation",2026-04,1500000
2026-06,formats,US,"United States","GIF","Animation",2026-05,1220000
2026-06,formats,US,"United States","SVG","Vector image",2025-06,33100
2026-06,formats,US,"United States","SVG","Vector image",2025-07,40500
2026-06,formats,US,"United States","SVG","Vector image",2025-08,40500
2026-06,formats,US,"United States","SVG","Vector image",2025-09,33100
2026-06,formats,US,"United States","SVG","Vector image",2025-10,40500
