snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,formats,WW,1,"PDF","Document",2928700,37.8,2.8,8.6
2026-07,formats,WW,2,"GIF","Animation",2545300,32.9,-16.8,29.3
2026-07,formats,WW,3,"PNG","Raster image",632500,8.2,-11,-6.7
2026-07,formats,WW,4,"JPG","Raster image",534100,6.9,-10.4,13.4
2026-07,formats,WW,5,"PSD","Photoshop",345700,4.5,-14.6,-16.7
2026-07,formats,WW,6,"SVG","Vector image",155500,2,-1.7,-1.7
2026-07,formats,WW,7,"ICO","Icon",153200,2,3.3,-5.2
2026-07,formats,WW,8,"BMP","Raster image",143380,1.9,17,19.9
2026-07,formats,WW,9,"TIFF","Raster image",123790,1.6,-7.9,-26.8
2026-07,formats,WW,10,"HEIC","Raster image",75830,1,-6.2,-19.5
2026-07,formats,WW,11,"WebP","Raster image",74910,1,-8.8,-5.2
2026-07,formats,WW,12,"AVIF","Raster image",27470,0.4,-4.3,-13.3
2026-07,formats,US,1,"GIF","Animation",1220000,51.5,-32.5,49.6
2026-07,formats,US,2,"PDF","Document",450000,19,-18.3,-18.3
2026-07,formats,US,3,"JPG","Raster image",201000,8.5,-33,22.3
2026-07,formats,US,4,"PSD","Photoshop",201000,8.5,-17.9,-17.9
2026-07,formats,US,5,"PNG","Raster image",110000,4.6,-18.2,22.3
2026-07,formats,US,6,"TIFF","Raster image",49500,2.1,-18.1,-18.1
2026-07,formats,US,7,"BMP","Raster image",49500,2.1,-18.2,-18.2
2026-07,formats,US,8,"SVG","Vector image",40500,1.7,0,0
2026-07,formats,US,9,"ICO","Icon",18100,0.8,22.7,0
2026-07,formats,US,10,"HEIC","Raster image",14800,0.6,-18.2,-18.2
2026-07,formats,US,11,"WebP","Raster image",12100,0.5,-18.2,-18.2
2026-07,formats,US,12,"AVIF","Raster image",4400,0.2,0,0
2026-07,formats,IN,1,"PDF","Document",550000,52.3,22.4,22.4
2026-07,formats,IN,2,"PNG","Raster image",165000,15.7,-18.2,-18.2
2026-07,formats,IN,3,"GIF","Animation",165000,15.7,0,22.2
2026-07,formats,IN,4,"JPG","Raster image",90500,8.6,0,22.3
2026-07,formats,IN,5,"BMP","Raster image",22200,2.1,82.8,307.7
2026-07,formats,IN,6,"SVG","Vector image",14800,1.4,0,-18.2
2026-07,formats,IN,7,"PSD","Photoshop",12100,1.2,22.3,0
2026-07,formats,IN,8,"WebP","Raster image",8100,0.8,-18.2,0
2026-07,formats,IN,9,"ICO","Icon",8100,0.8,0,-18.2
2026-07,formats,IN,10,"HEIC","Raster image",6600,0.6,-18.5,-18.5
2026-07,formats,IN,11,"TIFF","Raster image",6600,0.6,0,-33.3
2026-07,formats,IN,12,"AVIF","Raster image",2400,0.2,0,-20.8
2026-07,formats,GB,1,"GIF","Animation",110000,40.9,0,49.2
2026-07,formats,GB,2,"PDF","Document",49500,18.4,0,0
2026-07,formats,GB,3,"ICO","Icon",49500,18.4,0,-18.2
2026-07,formats,GB,4,"JPG","Raster image",14800,5.5,0,0
2026-07,formats,GB,5,"PNG","Raster image",14800,5.5,0,0
2026-07,formats,GB,6,"PSD","Photoshop",8100,3,-18.5,-33.3
2026-07,formats,GB,7,"TIFF","Raster image",6600,2.5,0,-19.4
2026-07,formats,GB,8,"SVG","Vector image",5400,2,0,-18.2
2026-07,formats,GB,9,"BMP","Raster image",3600,1.3,-19.4,-19.4
2026-07,formats,GB,10,"WebP","Raster image",2900,1.1,-17.2,-17.2
2026-07,formats,GB,11,"HEIC","Raster image",2900,1.1,0,-33.3
2026-07,formats,GB,12,"AVIF","Raster image",1000,0.4,-12,-12
2026-07,formats,CA,1,"GIF","Animation",90500,36,-17.7,49.6
2026-07,formats,CA,2,"PDF","Document",60500,24,0,-18.3
2026-07,formats,CA,3,"TIFF","Raster image",33100,13.2,0,-45.4
2026-07,formats,CA,4,"JPG","Raster image",18100,7.2,0,-18.2
2026-07,formats,CA,5,"PNG","Raster image",18100,7.2,-18.2,0
2026-07,formats,CA,6,"PSD","Photoshop",9900,3.9,-18.2,-18.2
2026-07,formats,CA,7,"BMP","Raster image",6600,2.6,-18.2,-18.2
2026-07,formats,CA,8,"SVG","Vector image",5400,2.1,0,-18.5
2026-07,formats,CA,9,"ICO","Icon",3600,1.4,24.1,24.1
2026-07,formats,CA,10,"HEIC","Raster image",2900,1.2,0,-17.2
2026-07,formats,CA,11,"WebP","Raster image",1900,0.8,-15.8,-15.8
2026-07,formats,CA,12,"AVIF","Raster image",1000,0.4,-12,-12
2026-07,formats,AU,1,"GIF","Animation",74000,54.3,0,49.6
2026-07,formats,AU,2,"PDF","Document",22200,16.3,-18.1,-18.1
2026-07,formats,AU,3,"PNG","Raster image",12100,8.9,-18.2,0
2026-07,formats,AU,4,"JPG","Raster image",8100,5.9,0,50
2026-07,formats,AU,5,"SVG","Vector image",4400,3.2,0,0
2026-07,formats,AU,6,"TIFF","Raster image",3600,2.6,-18.7,-31.6
2026-07,formats,AU,7,"PSD","Photoshop",3600,2.6,0,0
2026-07,formats,AU,8,"ICO","Icon",2900,2.1,0,0
2026-07,formats,AU,9,"HEIC","Raster image",1900,1.4,0,-15.8
2026-07,formats,AU,10,"BMP","Raster image",1600,1.2,-15.8,0
2026-07,formats,AU,11,"WebP","Raster image",1300,1,0,0
2026-07,formats,AU,12,"AVIF","Raster image",480,0.4,-18.6,-18.6
2026-07,formats,DE,1,"PDF","Document",90500,37.6,0,-17.7
2026-07,formats,DE,2,"GIF","Animation",74000,30.8,0,0
2026-07,formats,DE,3,"PSD","Photoshop",18100,7.5,-18.2,-33.3
2026-07,formats,DE,4,"SVG","Vector image",14800,6.2,0,-18.2
2026-07,formats,DE,5,"PNG","Raster image",12100,5,0,-18.2
2026-07,formats,DE,6,"JPG","Raster image",9900,4.1,0,0
2026-07,formats,DE,7,"WebP","Raster image",4400,1.8,0,-18.2
2026-07,formats,DE,8,"HEIC","Raster image",4400,1.8,24.1,-18.2
2026-07,formats,DE,9,"BMP","Raster image",4400,1.8,0,0
2026-07,formats,DE,10,"ICO","Icon",3600,1.5,0,-18.2
2026-07,formats,DE,11,"TIFF","Raster image",2400,1,0,-20.8
2026-07,formats,DE,12,"AVIF","Raster image",1900,0.8,0,-15.8
2026-07,formats,FR,1,"PDF","Document",110000,34.9,0,21.5
2026-07,formats,FR,2,"GIF","Animation",110000,34.9,0,21.5
2026-07,formats,FR,3,"JPG","Raster image",40500,12.8,49.4,0
2026-07,formats,FR,4,"PNG","Raster image",18100,5.7,-18.2,0
2026-07,formats,FR,5,"SVG","Vector image",8100,2.6,0,22.7
2026-07,formats,FR,6,"ICO","Icon",8100,2.6,22.7,22.7
2026-07,formats,FR,7,"HEIC","Raster image",5400,1.7,0,-18.2
2026-07,formats,FR,8,"BMP","Raster image",4400,1.4,22.2,22.2
2026-07,formats,FR,9,"PSD","Photoshop",4400,1.4,-18.2,-18.2
2026-07,formats,FR,10,"WebP","Raster image",2900,0.9,0,0
2026-07,formats,FR,11,"TIFF","Raster image",2400,0.8,0,-20.8
2026-07,formats,FR,12,"AVIF","Raster image",1300,0.4,-23.1,-23.1
2026-07,formats,BR,1,"PDF","Document",301000,49.9,0,22.4
2026-07,formats,BR,2,"GIF","Animation",110000,18.2,0,0
2026-07,formats,BR,3,"PNG","Raster image",90500,15,0,0
2026-07,formats,BR,4,"PSD","Photoshop",33100,5.5,-18.1,0
2026-07,formats,BR,5,"JPG","Raster image",18100,3,0,0
2026-07,formats,BR,6,"BMP","Raster image",14800,2.5,0,-70.1
2026-07,formats,BR,7,"SVG","Vector image",12100,2,0,22.3
2026-07,formats,BR,8,"ICO","Icon",12100,2,0,-18.2
2026-07,formats,BR,9,"WebP","Raster image",4400,0.7,-18.5,0
2026-07,formats,BR,10,"HEIC","Raster image",3600,0.6,-19.4,-19.4
2026-07,formats,BR,11,"TIFF","Raster image",2400,0.4,0,-20.8
2026-07,formats,BR,12,"AVIF","Raster image",1600,0.3,0,-15.8
2026-07,formats,MX,1,"PDF","Document",201000,55.5,-17.9,22.2
2026-07,formats,MX,2,"GIF","Animation",74000,20.4,-18.2,22.2
2026-07,formats,MX,3,"PNG","Raster image",40500,11.2,0,0
2026-07,formats,MX,4,"JPG","Raster image",22200,6.1,-18.5,0
2026-07,formats,MX,5,"SVG","Vector image",5400,1.5,0,22.7
2026-07,formats,MX,6,"ICO","Icon",5400,1.5,0,22.7
2026-07,formats,MX,7,"PSD","Photoshop",5400,1.5,0,-18.2
2026-07,formats,MX,8,"BMP","Raster image",2400,0.7,-15.8,0
