snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,languages,WW,1,"Python","General purpose",2524400,38.4,-2.4,-12.2
2026-07,languages,WW,2,"Java","General purpose",1355600,20.6,2.2,-42.1
2026-07,languages,WW,3,"JavaScript","Web",792300,12.1,-7.3,-27.7
2026-07,languages,WW,4,"SQL","Data",608400,9.3,-4,-23.2
2026-07,languages,WW,5,"PHP","Web",315000,4.8,-13.8,-27
2026-07,languages,WW,6,"C++","Systems",311300,4.7,-24.9,-24.6
2026-07,languages,WW,7,"TypeScript","Web",173380,2.6,-14.4,-32.6
2026-07,languages,WW,8,"C#","General purpose",135270,2.1,-4.8,-26.8
2026-07,languages,WW,9,"Kotlin","JVM / mobile",127780,1.9,-17.1,-28.9
2026-07,languages,WW,10,"Go","Systems",109020,1.7,-7.9,-34
2026-07,languages,WW,11,"Rust","Systems",68570,1,22.6,3.8
2026-07,languages,WW,12,"R","Data / stats",39790,0.6,5.9,-33.1
2026-07,languages,WW,13,"Ruby","Web",3730,0.1,53.1,-17.8
2026-07,languages,WW,14,"Swift","Apple",1690,0,-14.5,-35
2026-07,languages,US,1,"Python","General purpose",368000,31.2,-18.2,-18.2
2026-07,languages,US,2,"Java","General purpose",246000,20.9,0,0
2026-07,languages,US,3,"SQL","Data",165000,14,0,-32.7
2026-07,languages,US,4,"JavaScript","Web",135000,11.5,-18.5,-18.5
2026-07,languages,US,5,"PHP","Web",90500,7.7,-18.2,-18.2
2026-07,languages,US,6,"C++","Systems",40500,3.4,-18.3,-18.3
2026-07,languages,US,7,"TypeScript","Web",33100,2.8,0,-33.1
2026-07,languages,US,8,"C#","General purpose",22200,1.9,0,-18.5
2026-07,languages,US,9,"Go","Systems",22200,1.9,-18.2,-33.3
2026-07,languages,US,10,"Rust","Systems",22200,1.9,0,-18.5
2026-07,languages,US,11,"Kotlin","JVM / mobile",22200,1.9,-18.2,-45.4
2026-07,languages,US,12,"R","Data / stats",9900,0.8,0,-18.2
2026-07,languages,US,13,"Ruby","Web",1300,0.1,0,-47.4
2026-07,languages,US,14,"Swift","Apple",590,0.1,-18.6,-33.3
2026-07,languages,IN,1,"Python","General purpose",673000,43.9,22.4,-18.2
2026-07,languages,IN,2,"Java","General purpose",301000,19.6,22.4,-70.1
2026-07,languages,IN,3,"JavaScript","Web",165000,10.8,0,-45.1
2026-07,languages,IN,4,"SQL","Data",165000,10.8,0,-32.8
2026-07,languages,IN,5,"C++","Systems",60500,3.9,0,-45.3
2026-07,languages,IN,6,"PHP","Web",49500,3.2,0,-33.1
2026-07,languages,IN,7,"TypeScript","Web",33100,2.2,0,-33.1
2026-07,languages,IN,8,"C#","General purpose",18100,1.2,0,-45.4
2026-07,languages,IN,9,"Go","Systems",18100,1.2,0,-33.3
2026-07,languages,IN,10,"Kotlin","JVM / mobile",18100,1.2,0,-33.3
2026-07,languages,IN,11,"R","Data / stats",18100,1.2,22.2,-45.5
2026-07,languages,IN,12,"Rust","Systems",12100,0.8,49.5,0
2026-07,languages,IN,13,"Ruby","Web",390,0,176.9,22
2026-07,languages,IN,14,"Swift","Apple",260,0,0,-56.4
2026-07,languages,GB,1,"Python","General purpose",90500,40.2,0,0
