snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,nocode,US,"United States","n8n","Automation",2025-06,246000
2026-06,nocode,US,"United States","n8n","Automation",2025-07,301000
2026-06,nocode,US,"United States","n8n","Automation",2025-08,246000
2026-06,nocode,US,"United States","n8n","Automation",2025-09,246000
2026-06,nocode,US,"United States","n8n","Automation",2025-10,246000
2026-06,nocode,US,"United States","n8n","Automation",2025-11,201000
2026-06,nocode,US,"United States","n8n","Automation",2025-12,201000
2026-06,nocode,US,"United States","n8n","Automation",2026-01,201000
2026-06,nocode,US,"United States","n8n","Automation",2026-02,201000
2026-06,nocode,US,"United States","n8n","Automation",2026-03,201000
2026-06,nocode,US,"United States","n8n","Automation",2026-04,165000
2026-06,nocode,US,"United States","n8n","Automation",2026-05,135000
2026-06,nocode,US,"United States","Airtable","Database",2025-06,165000
2026-06,nocode,US,"United States","Airtable","Database",2025-07,165000
2026-06,nocode,US,"United States","Airtable","Database",2025-08,165000
2026-06,nocode,US,"United States","Airtable","Database",2025-09,165000
2026-06,nocode,US,"United States","Airtable","Database",2025-10,165000
2026-06,nocode,US,"United States","Airtable","Database",2025-11,135000
2026-06,nocode,US,"United States","Airtable","Database",2025-12,135000
2026-06,nocode,US,"United States","Airtable","Database",2026-01,165000
2026-06,nocode,US,"United States","Airtable","Database",2026-02,201000
2026-06,nocode,US,"United States","Airtable","Database",2026-03,165000
2026-06,nocode,US,"United States","Airtable","Database",2026-04,165000
2026-06,nocode,US,"United States","Airtable","Database",2026-05,165000
2026-06,nocode,US,"United States","Zapier","Automation",2025-06,165000
2026-06,nocode,US,"United States","Zapier","Automation",2025-07,201000
2026-06,nocode,US,"United States","Zapier","Automation",2025-08,201000
2026-06,nocode,US,"United States","Zapier","Automation",2025-09,165000
2026-06,nocode,US,"United States","Zapier","Automation",2025-10,201000
2026-06,nocode,US,"United States","Zapier","Automation",2025-11,165000
2026-06,nocode,US,"United States","Zapier","Automation",2025-12,135000
2026-06,nocode,US,"United States","Zapier","Automation",2026-01,165000
2026-06,nocode,US,"United States","Zapier","Automation",2026-02,165000
2026-06,nocode,US,"United States","Zapier","Automation",2026-03,201000
2026-06,nocode,US,"United States","Zapier","Automation",2026-04,165000
2026-06,nocode,US,"United States","Zapier","Automation",2026-05,135000
2026-06,nocode,US,"United States","Webflow","No-code web",2025-06,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2025-07,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2025-08,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2025-09,74000
2026-06,nocode,US,"United States","Webflow","No-code web",2025-10,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2025-11,74000
2026-06,nocode,US,"United States","Webflow","No-code web",2025-12,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2026-01,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2026-02,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2026-03,90500
2026-06,nocode,US,"United States","Webflow","No-code web",2026-04,74000
2026-06,nocode,US,"United States","Webflow","No-code web",2026-05,74000
2026-06,nocode,US,"United States","Carrd","No-code web",2025-06,110000
2026-06,nocode,US,"United States","Carrd","No-code web",2025-07,110000
2026-06,nocode,US,"United States","Carrd","No-code web",2025-08,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2025-09,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2025-10,74000
2026-06,nocode,US,"United States","Carrd","No-code web",2025-11,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2025-12,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2026-01,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2026-02,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2026-03,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2026-04,90500
2026-06,nocode,US,"United States","Carrd","No-code web",2026-05,90500
2026-06,nocode,US,"United States","Typeform","Forms",2025-06,74000
2026-06,nocode,US,"United States","Typeform","Forms",2025-07,74000
2026-06,nocode,US,"United States","Typeform","Forms",2025-08,74000
2026-06,nocode,US,"United States","Typeform","Forms",2025-09,74000
2026-06,nocode,US,"United States","Typeform","Forms",2025-10,74000
2026-06,nocode,US,"United States","Typeform","Forms",2025-11,60500
2026-06,nocode,US,"United States","Typeform","Forms",2025-12,60500
2026-06,nocode,US,"United States","Typeform","Forms",2026-01,74000
2026-06,nocode,US,"United States","Typeform","Forms",2026-02,60500
2026-06,nocode,US,"United States","Typeform","Forms",2026-03,74000
2026-06,nocode,US,"United States","Typeform","Forms",2026-04,74000
2026-06,nocode,US,"United States","Typeform","Forms",2026-05,60500
2026-06,nocode,US,"United States","Framer","No-code web",2025-06,74000
2026-06,nocode,US,"United States","Framer","No-code web",2025-07,74000
2026-06,nocode,US,"United States","Framer","No-code web",2025-08,74000
2026-06,nocode,US,"United States","Framer","No-code web",2025-09,74000
2026-06,nocode,US,"United States","Framer","No-code web",2025-10,74000
2026-06,nocode,US,"United States","Framer","No-code web",2025-11,74000
2026-06,nocode,US,"United States","Framer","No-code web",2025-12,60500
2026-06,nocode,US,"United States","Framer","No-code web",2026-01,74000
2026-06,nocode,US,"United States","Framer","No-code web",2026-02,74000
2026-06,nocode,US,"United States","Framer","No-code web",2026-03,90500
2026-06,nocode,US,"United States","Framer","No-code web",2026-04,90500
2026-06,nocode,US,"United States","Framer","No-code web",2026-05,74000
2026-06,nocode,US,"United States","Power Apps","Internal tools",2025-06,27100
2026-06,nocode,US,"United States","Power Apps","Internal tools",2025-07,27100
2026-06,nocode,US,"United States","Power Apps","Internal tools",2025-08,27100
2026-06,nocode,US,"United States","Power Apps","Internal tools",2025-09,27100
2026-06,nocode,US,"United States","Power Apps","Internal tools",2025-10,27100
2026-06,nocode,US,"United States","Power Apps","Internal tools",2025-11,22200
2026-06,nocode,US,"United States","Power Apps","Internal tools",2025-12,22200
2026-06,nocode,US,"United States","Power Apps","Internal tools",2026-01,22200
2026-06,nocode,US,"United States","Power Apps","Internal tools",2026-02,22200
2026-06,nocode,US,"United States","Power Apps","Internal tools",2026-03,27100
2026-06,nocode,US,"United States","Power Apps","Internal tools",2026-04,27100
2026-06,nocode,US,"United States","Power Apps","Internal tools",2026-05,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2025-06,27100
2026-06,nocode,US,"United States","Retool","Internal tools",2025-07,27100
2026-06,nocode,US,"United States","Retool","Internal tools",2025-08,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2025-09,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2025-10,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2025-11,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2025-12,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2026-01,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2026-02,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2026-03,27100
2026-06,nocode,US,"United States","Retool","Internal tools",2026-04,22200
2026-06,nocode,US,"United States","Retool","Internal tools",2026-05,22200
2026-06,nocode,US,"United States","AppSheet","Internal tools",2025-06,14800
2026-06,nocode,US,"United States","AppSheet","Internal tools",2025-07,18100
2026-06,nocode,US,"United States","AppSheet","Internal tools",2025-08,22200
2026-06,nocode,US,"United States","AppSheet","Internal tools",2025-09,22200
2026-06,nocode,US,"United States","AppSheet","Internal tools",2025-10,18100
2026-06,nocode,US,"United States","AppSheet","Internal tools",2025-11,14800
2026-06,nocode,US,"United States","AppSheet","Internal tools",2025-12,18100
2026-06,nocode,US,"United States","AppSheet","Internal tools",2026-01,22200
2026-06,nocode,US,"United States","AppSheet","Internal tools",2026-02,22200
2026-06,nocode,US,"United States","AppSheet","Internal tools",2026-03,27100
2026-06,nocode,US,"United States","AppSheet","Internal tools",2026-04,27100
2026-06,nocode,US,"United States","AppSheet","Internal tools",2026-05,18100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2025-06,18100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2025-07,18100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2025-08,14800
2026-06,nocode,US,"United States","FlutterFlow","App builder",2025-09,12100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2025-10,12100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2025-11,14800
2026-06,nocode,US,"United States","FlutterFlow","App builder",2025-12,14800
2026-06,nocode,US,"United States","FlutterFlow","App builder",2026-01,18100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2026-02,18100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2026-03,18100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2026-04,18100
2026-06,nocode,US,"United States","FlutterFlow","App builder",2026-05,18100
2026-06,nocode,US,"United States","Adalo","App builder",2025-06,9900
