snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,seo,US,"United States","Google Search Console","Free · Google",2025-06,301000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2025-07,368000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2025-08,368000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2025-09,368000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2025-10,368000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2025-11,301000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2025-12,301000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2026-01,368000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2026-02,368000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2026-03,450000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2026-04,450000
2026-06,seo,US,"United States","Google Search Console","Free · Google",2026-05,450000
2026-06,seo,US,"United States","Semrush","All-in-one",2025-06,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2025-07,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2025-08,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2025-09,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2025-10,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2025-11,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2025-12,74000
2026-06,seo,US,"United States","Semrush","All-in-one",2026-01,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2026-02,74000
2026-06,seo,US,"United States","Semrush","All-in-one",2026-03,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2026-04,90500
2026-06,seo,US,"United States","Semrush","All-in-one",2026-05,74000
2026-06,seo,US,"United States","Ahrefs","All-in-one",2025-06,49500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2025-07,49500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2025-08,49500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2025-09,49500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2025-10,49500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2025-11,40500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2025-12,33100
2026-06,seo,US,"United States","Ahrefs","All-in-one",2026-01,40500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2026-02,40500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2026-03,49500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2026-04,40500
2026-06,seo,US,"United States","Ahrefs","All-in-one",2026-05,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2025-06,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2025-07,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2025-08,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2025-09,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2025-10,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2025-11,40500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2025-12,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2026-01,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2026-02,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2026-03,74000
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2026-04,49500
2026-06,seo,US,"United States","Similarweb","Traffic analytics",2026-05,40500
2026-06,seo,US,"United States","Ubersuggest","Keyword research",2025-06,22200
2026-06,seo,US,"United States","Ubersuggest","Keyword research",2025-07,22200
2026-06,seo,US,"United States","Ubersuggest","Keyword research",2025-08,18100
2026-06,seo,US,"United States","Ubersuggest","Keyword research",2025-09,18100
2026-06,seo,US,"United States","Ubersuggest","Keyword research",2025-10,18100
2026-06,seo,US,"United States","Ubersuggest","Keyword research",2025-11,18100
