snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,seo,WW,1,"Google Search Console","Free · Google",2059200,55.6,14,47.2
2026-07,seo,WW,2,"Semrush","All-in-one",518500,14,-0.9,-23.6
2026-07,seo,WW,3,"Similarweb","Traffic analytics",234900,6.3,-8.1,-34
2026-07,seo,WW,4,"Ahrefs","All-in-one",212200,5.7,-1.3,-18.9
2026-07,seo,WW,5,"Ubersuggest","Keyword research",172240,4.6,-2.2,-41.5
2026-07,seo,WW,6,"AnswerThePublic","Keyword research",120390,3.2,-3.7,-27.6
2026-07,seo,WW,7,"Moz","All-in-one",100780,2.7,-4.1,-26.7
2026-07,seo,WW,8,"GTmetrix","Page speed",85390,2.3,-13.1,-43.9
2026-07,seo,WW,9,"Screaming Frog","Crawler",56220,1.5,9.4,-5.2
2026-07,seo,WW,10,"SE Ranking","Rank tracking",49380,1.3,-65.2,-16.9
2026-07,seo,WW,11,"Surfer SEO","Content SEO",27200,0.7,-22.5,-51.7
2026-07,seo,WW,12,"SpyFu","Competitor research",21880,0.6,-11.3,-35
2026-07,seo,WW,13,"Rank Math","WordPress plugin",17650,0.5,-5.8,-24.5
2026-07,seo,WW,14,"Yoast","WordPress plugin",10620,0.3,1.6,-26.7
2026-07,seo,WW,15,"Mangools","Keyword research",9350,0.3,-9.9,-18.9
2026-07,seo,WW,16,"BrightEdge","Enterprise",9100,0.2,0.8,-18.9
2026-07,seo,US,1,"Google Search Console","Free · Google",368000,56.4,22.2,49.5
2026-07,seo,US,2,"Semrush","All-in-one",90500,13.9,0,-18.2
2026-07,seo,US,3,"Similarweb","Traffic analytics",49500,7.6,0,-18.2
2026-07,seo,US,4,"Ahrefs","All-in-one",40500,6.2,-18.2,-18.2
2026-07,seo,US,5,"Ubersuggest","Keyword research",18100,2.8,0,-33.3
2026-07,seo,US,6,"AnswerThePublic","Keyword research",18100,2.8,-18.2,-33.3
2026-07,seo,US,7,"Screaming Frog","Crawler",12100,1.9,0,-18.2
2026-07,seo,US,8,"Moz","All-in-one",9900,1.5,-18.2,-33.1
2026-07,seo,US,9,"GTmetrix","Page speed",9900,1.5,-18.5,-45.5
2026-07,seo,US,10,"SE Ranking","Rank tracking",8100,1.2,0,0
2026-07,seo,US,11,"SpyFu","Competitor research",8100,1.2,-18.5,-33.3
2026-07,seo,US,12,"Surfer SEO","Content SEO",6600,1,-33.3,-55.6
2026-07,seo,US,13,"BrightEdge","Enterprise",4400,0.7,0,-18.5
2026-07,seo,US,14,"Yoast","WordPress plugin",3600,0.6,0,-34.1
2026-07,seo,US,15,"Rank Math","WordPress plugin",3600,0.6,0,-19.4
2026-07,seo,US,16,"Mangools","Keyword research",1600,0.2,-31.6,0
2026-07,seo,IN,1,"Google Search Console","Free · Google",550000,56.4,22.3,49.6
2026-07,seo,IN,2,"Semrush","All-in-one",135000,13.8,0,-18.2
2026-07,seo,IN,3,"Ahrefs","All-in-one",60500,6.2,22.2,-18.2
2026-07,seo,IN,4,"Ubersuggest","Keyword research",60500,6.2,0,-45.3
2026-07,seo,IN,5,"Similarweb","Traffic analytics",40500,4.2,0,-45.3
2026-07,seo,IN,6,"AnswerThePublic","Keyword research",33100,3.4,22.1,-33.1
2026-07,seo,IN,7,"GTmetrix","Page speed",33100,3.4,-18.1,-45.2
2026-07,seo,IN,8,"SE Ranking","Rank tracking",14800,1.5,-89.1,-33.1
2026-07,seo,IN,9,"Screaming Frog","Crawler",12100,1.2,49.6,22.3
2026-07,seo,IN,10,"Moz","All-in-one",12100,1.2,0,-33.1
2026-07,seo,IN,11,"SpyFu","Competitor research",6600,0.7,0,-33.3
2026-07,seo,IN,12,"Surfer SEO","Content SEO",6600,0.7,-18.5,-55.6
2026-07,seo,IN,13,"Rank Math","WordPress plugin",4400,0.5,0,-33.3
2026-07,seo,IN,14,"Mangools","Keyword research",2900,0.3,0,-19.4
2026-07,seo,IN,15,"BrightEdge","Enterprise",1600,0.2,0,-15.8
2026-07,seo,IN,16,"Yoast","WordPress plugin",1000,0.1,13.6,-23.1
2026-07,seo,GB,1,"Google Search Console","Free · Google",135000,55.4,22.2,50
2026-07,seo,GB,2,"Semrush","All-in-one",33100,13.6,0,-33.1
2026-07,seo,GB,3,"Ahrefs","All-in-one",18100,7.4,0,0
2026-07,seo,GB,4,"Similarweb","Traffic analytics",18100,7.4,-18.2,-55.4
2026-07,seo,GB,5,"AnswerThePublic","Keyword research",8100,3.3,-18.5,-18.5
2026-07,seo,GB,6,"Ubersuggest","Keyword research",6600,2.7,0,-45.5
2026-07,seo,GB,7,"Screaming Frog","Crawler",5400,2.2,22.7,0
2026-07,seo,GB,8,"SE Ranking","Rank tracking",4400,1.8,0,-18.2
2026-07,seo,GB,9,"Moz","All-in-one",3600,1.5,0,-34.1
2026-07,seo,GB,10,"GTmetrix","Page speed",3600,1.5,0,-46.3
2026-07,seo,GB,11,"Surfer SEO","Content SEO",1900,0.8,-18.7,-45.8
2026-07,seo,GB,12,"SpyFu","Competitor research",1600,0.7,0,-31.6
2026-07,seo,GB,13,"BrightEdge","Enterprise",1300,0.5,0,-18.7
2026-07,seo,GB,14,"Rank Math","WordPress plugin",1300,0.5,0,-23.1
2026-07,seo,GB,15,"Yoast","WordPress plugin",1000,0.4,0,-23.1
2026-07,seo,GB,16,"Mangools","Keyword research",590,0.2,0,-18.6
2026-07,seo,CA,1,"Google Search Console","Free · Google",74000,60.5,21.5,81.8
2026-07,seo,CA,2,"Semrush","All-in-one",14800,12.1,0,-18.2
2026-07,seo,CA,3,"Ahrefs","All-in-one",6600,5.4,0,-18.5
2026-07,seo,CA,4,"Similarweb","Traffic analytics",6600,5.4,-33.3,-33.3
2026-07,seo,CA,5,"Ubersuggest","Keyword research",4400,3.6,0,-33.3
2026-07,seo,CA,6,"AnswerThePublic","Keyword research",3600,2.9,0,-19.4
2026-07,seo,CA,7,"Moz","All-in-one",2900,2.4,0,52.6
2026-07,seo,CA,8,"GTmetrix","Page speed",2400,2,0,-44.8
2026-07,seo,CA,9,"Screaming Frog","Crawler",1900,1.6,0,-20.8
2026-07,seo,CA,10,"SE Ranking","Rank tracking",1300,1.1,0,0
2026-07,seo,CA,11,"Surfer SEO","Content SEO",1000,0.8,-18.2,-55
2026-07,seo,CA,12,"SpyFu","Competitor research",880,0.7,-18.1,-54.6
2026-07,seo,CA,13,"Rank Math","WordPress plugin",720,0.6,-18.1,-18.1
2026-07,seo,CA,14,"Yoast","WordPress plugin",480,0.4,0,-18.7
2026-07,seo,CA,15,"Mangools","Keyword research",390,0.3,-17.9,23.1
2026-07,seo,CA,16,"BrightEdge","Enterprise",320,0.3,-18.7,-18.7
2026-07,seo,AU,1,"Google Search Console","Free · Google",49500,55.7,22.3,49.5
2026-07,seo,AU,2,"Semrush","All-in-one",12100,13.6,0,-18.2
2026-07,seo,AU,3,"Ahrefs","All-in-one",6600,7.4,-18.2,-33.3
2026-07,seo,AU,4,"Similarweb","Traffic analytics",5400,6.1,-18.2,-33.3
2026-07,seo,AU,5,"Ubersuggest","Keyword research",3600,4,0,-34.1
2026-07,seo,AU,6,"AnswerThePublic","Keyword research",2900,3.3,0,-19.4
2026-07,seo,AU,7,"Screaming Frog","Crawler",1900,2.1,0,0
2026-07,seo,AU,8,"GTmetrix","Page speed",1600,1.8,-18.7,-45.8
2026-07,seo,AU,9,"SE Ranking","Rank tracking",1300,1.5,0,0
2026-07,seo,AU,10,"Surfer SEO","Content SEO",1000,1.1,-18.2,-44.6
2026-07,seo,AU,11,"Moz","All-in-one",880,1,0,-28
2026-07,seo,AU,12,"SpyFu","Competitor research",590,0.7,-33.3,-33.3
2026-07,seo,AU,13,"Rank Math","WordPress plugin",590,0.7,0,-18.1
2026-07,seo,AU,14,"Yoast","WordPress plugin",390,0.4,0,-18.7
2026-07,seo,AU,15,"BrightEdge","Enterprise",320,0.4,0,0
2026-07,seo,AU,16,"Mangools","Keyword research",260,0.3,-18.7,-18.7
2026-07,seo,DE,1,"Google Search Console","Free · Google",110000,53,0,49.2
2026-07,seo,DE,2,"Moz","All-in-one",40500,19.5,0,-33.1
2026-07,seo,DE,3,"Semrush","All-in-one",14800,7.1,0,-33.1
2026-07,seo,DE,4,"Similarweb","Traffic analytics",9900,4.8,-18.2,-33.1
2026-07,seo,DE,5,"Ahrefs","All-in-one",8100,3.9,0,-33.3
2026-07,seo,DE,6,"Ubersuggest","Keyword research",5400,2.6,0,-45.7
2026-07,seo,DE,7,"AnswerThePublic","Keyword research",5400,2.6,22.2,-33.3
2026-07,seo,DE,8,"Screaming Frog","Crawler",3600,1.7,0,-19.4
2026-07,seo,DE,9,"SE Ranking","Rank tracking",2900,1.4,26.3,0
2026-07,seo,DE,10,"GTmetrix","Page speed",2400,1.2,26.3,-33.3
2026-07,seo,DE,11,"Surfer SEO","Content SEO",1300,0.6,0,-47.4
2026-07,seo,DE,12,"Rank Math","WordPress plugin",1300,0.6,0,-23.1
2026-07,seo,DE,13,"Mangools","Keyword research",720,0.3,-18.6,-45.5
2026-07,seo,DE,14,"Yoast","WordPress plugin",590,0.3,22.9,-18.1
2026-07,seo,DE,15,"SpyFu","Competitor research",390,0.2,-18.7,-45.8
2026-07,seo,DE,16,"BrightEdge","Enterprise",170,0.1,27.3,-33.3
2026-07,seo,FR,1,"Google Search Console","Free · Google",110000,45.9,0,49.2
2026-07,seo,FR,2,"Semrush","All-in-one",74000,30.9,0,-33.1
2026-07,seo,FR,3,"Similarweb","Traffic analytics",12100,5.1,0,-18.2
2026-07,seo,FR,4,"Ubersuggest","Keyword research",12100,5.1,0,-33.1
2026-07,seo,FR,5,"Ahrefs","All-in-one",6600,2.8,-18.2,-18.2
2026-07,seo,FR,6,"AnswerThePublic","Keyword research",6600,2.8,0,-33.3
2026-07,seo,FR,7,"Screaming Frog","Crawler",4400,1.8,0,-18.2
2026-07,seo,FR,8,"GTmetrix","Page speed",4400,1.8,-19.4,-46.3
2026-07,seo,FR,9,"SE Ranking","Rank tracking",3600,1.5,20.8,-19.4
2026-07,seo,FR,10,"Moz","All-in-one",1900,0.8,-15.8,-33.3
2026-07,seo,FR,11,"Surfer SEO","Content SEO",1000,0.4,-18.2,-44.6
2026-07,seo,FR,12,"Rank Math","WordPress plugin",880,0.4,-18.2,-18.2
2026-07,seo,FR,13,"Yoast","WordPress plugin",720,0.3,0,-18.1
2026-07,seo,FR,14,"SpyFu","Competitor research",590,0.2,0,-45.8
2026-07,seo,FR,15,"Mangools","Keyword research",480,0.2,21.9,-18.7
2026-07,seo,FR,16,"BrightEdge","Enterprise",140,0.1,88.9,21.4
2026-07,seo,BR,1,"Google Search Console","Free · Google",74000,41,0,49.6
2026-07,seo,BR,2,"Semrush","All-in-one",27100,15,0,-32.9
2026-07,seo,BR,3,"Similarweb","Traffic analytics",22200,12.3,-18.2,-45.4
2026-07,seo,BR,4,"Ubersuggest","Keyword research",22200,12.3,0,-45.4
2026-07,seo,BR,5,"AnswerThePublic","Keyword research",14800,8.2,0,-33.1
2026-07,seo,BR,6,"GTmetrix","Page speed",8100,4.5,-18.2,-55.4
2026-07,seo,BR,7,"Ahrefs","All-in-one",5400,3,0,-55.6
2026-07,seo,BR,8,"Moz","All-in-one",1600,0.9,0,-15.8
