snapshot,category,country_code,country,brand,vendor,year_month,searches
2026-06,storage,US,"United States","Google Drive","Google",2025-06,7480000
2026-06,storage,US,"United States","Google Drive","Google",2025-07,6120000
2026-06,storage,US,"United States","Google Drive","Google",2025-08,9140000
2026-06,storage,US,"United States","Google Drive","Google",2025-09,13600000
2026-06,storage,US,"United States","Google Drive","Google",2025-10,13600000
2026-06,storage,US,"United States","Google Drive","Google",2025-11,11100000
2026-06,storage,US,"United States","Google Drive","Google",2025-12,9140000
2026-06,storage,US,"United States","Google Drive","Google",2026-01,11100000
2026-06,storage,US,"United States","Google Drive","Google",2026-02,11100000
2026-06,storage,US,"United States","Google Drive","Google",2026-03,11100000
2026-06,storage,US,"United States","Google Drive","Google",2026-04,11100000
2026-06,storage,US,"United States","Google Drive","Google",2026-05,9140000
2026-06,storage,US,"United States","iCloud","Apple",2025-06,1830000
2026-06,storage,US,"United States","iCloud","Apple",2025-07,1830000
2026-06,storage,US,"United States","iCloud","Apple",2025-08,1830000
2026-06,storage,US,"United States","iCloud","Apple",2025-09,1830000
2026-06,storage,US,"United States","iCloud","Apple",2025-10,1830000
2026-06,storage,US,"United States","iCloud","Apple",2025-11,1830000
2026-06,storage,US,"United States","iCloud","Apple",2025-12,2240000
2026-06,storage,US,"United States","iCloud","Apple",2026-01,2240000
2026-06,storage,US,"United States","iCloud","Apple",2026-02,1830000
2026-06,storage,US,"United States","iCloud","Apple",2026-03,1830000
2026-06,storage,US,"United States","iCloud","Apple",2026-04,1830000
2026-06,storage,US,"United States","iCloud","Apple",2026-05,1830000
2026-06,storage,US,"United States","Dropbox","Dropbox",2025-06,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2025-07,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2025-08,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2025-09,1500000
2026-06,storage,US,"United States","Dropbox","Dropbox",2025-10,1500000
2026-06,storage,US,"United States","Dropbox","Dropbox",2025-11,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2025-12,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2026-01,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2026-02,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2026-03,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2026-04,1220000
2026-06,storage,US,"United States","Dropbox","Dropbox",2026-05,1220000
2026-06,storage,US,"United States","OneDrive","Microsoft",2025-06,1500000
2026-06,storage,US,"United States","OneDrive","Microsoft",2025-07,1500000
2026-06,storage,US,"United States","OneDrive","Microsoft",2025-08,1500000
2026-06,storage,US,"United States","OneDrive","Microsoft",2025-09,1830000
2026-06,storage,US,"United States","OneDrive","Microsoft",2025-10,1830000
2026-06,storage,US,"United States","OneDrive","Microsoft",2025-11,1500000
2026-06,storage,US,"United States","OneDrive","Microsoft",2025-12,1500000
2026-06,storage,US,"United States","OneDrive","Microsoft",2026-01,1500000
2026-06,storage,US,"United States","OneDrive","Microsoft",2026-02,1500000
2026-06,storage,US,"United States","OneDrive","Microsoft",2026-03,1830000
2026-06,storage,US,"United States","OneDrive","Microsoft",2026-04,1830000
2026-06,storage,US,"United States","OneDrive","Microsoft",2026-05,1500000
2026-06,storage,US,"United States","Terabox","Flextech",2025-06,22200
2026-06,storage,US,"United States","Terabox","Flextech",2025-07,22200
2026-06,storage,US,"United States","Terabox","Flextech",2025-08,22200
2026-06,storage,US,"United States","Terabox","Flextech",2025-09,22200
2026-06,storage,US,"United States","Terabox","Flextech",2025-10,22200
2026-06,storage,US,"United States","Terabox","Flextech",2025-11,22200
2026-06,storage,US,"United States","Terabox","Flextech",2025-12,22200
2026-06,storage,US,"United States","Terabox","Flextech",2026-01,22200
2026-06,storage,US,"United States","Terabox","Flextech",2026-02,22200
2026-06,storage,US,"United States","Terabox","Flextech",2026-03,22200
2026-06,storage,US,"United States","Terabox","Flextech",2026-04,18100
2026-06,storage,US,"United States","Terabox","Flextech",2026-05,18100
2026-06,storage,US,"United States","MEGA","MEGA",2025-06,14800
2026-06,storage,US,"United States","MEGA","MEGA",2025-07,14800
2026-06,storage,US,"United States","MEGA","MEGA",2025-08,12100
2026-06,storage,US,"United States","MEGA","MEGA",2025-09,12100
2026-06,storage,US,"United States","MEGA","MEGA",2025-10,12100
2026-06,storage,US,"United States","MEGA","MEGA",2025-11,12100
2026-06,storage,US,"United States","MEGA","MEGA",2025-12,14800
2026-06,storage,US,"United States","MEGA","MEGA",2026-01,18100
2026-06,storage,US,"United States","MEGA","MEGA",2026-02,14800
2026-06,storage,US,"United States","MEGA","MEGA",2026-03,18100
2026-06,storage,US,"United States","MEGA","MEGA",2026-04,18100
2026-06,storage,US,"United States","MEGA","MEGA",2026-05,14800
2026-06,storage,US,"United States","MediaFire","MediaFire",2025-06,60500
2026-06,storage,US,"United States","MediaFire","MediaFire",2025-07,60500
2026-06,storage,US,"United States","MediaFire","MediaFire",2025-08,60500
2026-06,storage,US,"United States","MediaFire","MediaFire",2025-09,49500
2026-06,storage,US,"United States","MediaFire","MediaFire",2025-10,60500
2026-06,storage,US,"United States","MediaFire","MediaFire",2025-11,60500
2026-06,storage,US,"United States","MediaFire","MediaFire",2025-12,49500
2026-06,storage,US,"United States","MediaFire","MediaFire",2026-01,60500
2026-06,storage,US,"United States","MediaFire","MediaFire",2026-02,49500
2026-06,storage,US,"United States","MediaFire","MediaFire",2026-03,49500
2026-06,storage,US,"United States","MediaFire","MediaFire",2026-04,60500
2026-06,storage,US,"United States","MediaFire","MediaFire",2026-05,49500
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2025-06,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2025-07,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2025-08,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2025-09,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2025-10,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2025-11,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2025-12,368000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2026-01,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2026-02,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2026-03,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2026-04,450000
2026-06,storage,US,"United States","WeTransfer","Bending Spoons",2026-05,450000
2026-06,storage,US,"United States","pCloud","pCloud",2025-06,22200
2026-06,storage,US,"United States","pCloud","pCloud",2025-07,27100
2026-06,storage,US,"United States","pCloud","pCloud",2025-08,27100
2026-06,storage,US,"United States","pCloud","pCloud",2025-09,22200
2026-06,storage,US,"United States","pCloud","pCloud",2025-10,22200
2026-06,storage,US,"United States","pCloud","pCloud",2025-11,27100
2026-06,storage,US,"United States","pCloud","pCloud",2025-12,27100
