snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-06,storage,WW,1,"Google Drive","Google",26299000,44.1,-7.1,19.9
2026-06,storage,WW,2,"iCloud","Apple",9694000,16.2,-1.6,2.8
2026-06,storage,WW,3,"WeTransfer","Bending Spoons",9692700,16.2,-3.4,-15
2026-06,storage,WW,4,"OneDrive","Microsoft",7853500,13.2,-6.7,-2.4
2026-06,storage,WW,5,"Dropbox","Dropbox",3800200,6.4,-0.7,-8.6
2026-06,storage,WW,6,"MediaFire","MediaFire",551300,0.9,2.8,0.5
2026-06,storage,WW,7,"Terabox","Flextech",548100,0.9,-6.8,-2.7
2026-06,storage,WW,8,"Amazon Photos","Amazon",460940,0.8,15,16.1
2026-06,storage,WW,9,"Nextcloud","Nextcloud",252900,0.4,-15.9,-4.5
2026-06,storage,WW,10,"pCloud","pCloud",216700,0.4,-6,22
2026-06,storage,WW,11,"Proton Drive","Proton",102350,0.2,5.9,88
2026-06,storage,WW,12,"MEGA","MEGA",84780,0.1,-4.2,-11.2
2026-06,storage,WW,13,"iDrive","iDrive",74640,0.1,4.2,-15
2026-06,storage,WW,14,"Backblaze","Backblaze",59800,0.1,-2.1,-20.4
2026-06,storage,US,1,"Google Drive","Google",11100000,67.1,-17.7,22.2
2026-06,storage,US,2,"iCloud","Apple",1830000,11.1,0,0
2026-06,storage,US,3,"OneDrive","Microsoft",1500000,9.1,-18,0
2026-06,storage,US,4,"Dropbox","Dropbox",1220000,7.4,0,0
2026-06,storage,US,5,"WeTransfer","Bending Spoons",450000,2.7,0,0
2026-06,storage,US,6,"Amazon Photos","Amazon",201000,1.2,22.4,22.4
2026-06,storage,US,7,"MediaFire","MediaFire",60500,0.4,-18.2,-18.2
2026-06,storage,US,8,"iDrive","iDrive",33100,0.2,0,-18.1
2026-06,storage,US,9,"pCloud","pCloud",27100,0.2,-18.1,0
2026-06,storage,US,10,"Proton Drive","Proton",27100,0.2,0,49.1
2026-06,storage,US,11,"Nextcloud","Nextcloud",27100,0.2,-18.1,-18.1
2026-06,storage,US,12,"Backblaze","Backblaze",27100,0.2,0,-18.1
2026-06,storage,US,13,"Terabox","Flextech",22200,0.1,0,-18.5
2026-06,storage,US,14,"MEGA","MEGA",14800,0.1,-18.2,0
2026-06,storage,IN,1,"Google Drive","Google",1500000,33.2,0,23
2026-06,storage,IN,2,"WeTransfer","Bending Spoons",1500000,33.2,-18.7,-18.7
2026-06,storage,IN,3,"iCloud","Apple",550000,12.2,0,22.2
2026-06,storage,IN,4,"OneDrive","Microsoft",450000,10,0,0
2026-06,storage,IN,5,"Terabox","Flextech",246000,5.4,-18.3,-18.3
2026-06,storage,IN,6,"Dropbox","Dropbox",165000,3.6,0,-18.2
2026-06,storage,IN,7,"MediaFire","MediaFire",60500,1.3,0,0
2026-06,storage,IN,8,"pCloud","pCloud",14800,0.3,0,0
2026-06,storage,IN,9,"Nextcloud","Nextcloud",8100,0.2,-18.5,-18.5
2026-06,storage,IN,10,"Proton Drive","Proton",6600,0.1,0,50
2026-06,storage,IN,11,"Amazon Photos","Amazon",6600,0.1,22.2,-18.5
2026-06,storage,IN,12,"MEGA","MEGA",5400,0.1,0,-18.2
2026-06,storage,IN,13,"iDrive","iDrive",5400,0.1,0,-18.5
2026-06,storage,IN,14,"Backblaze","Backblaze",2400,0.1,0,-34.5
2026-06,storage,GB,1,"Google Drive","Google",1500000,37.3,0,23
2026-06,storage,GB,2,"OneDrive","Microsoft",1000000,24.9,-17.7,0
2026-06,storage,GB,3,"WeTransfer","Bending Spoons",673000,16.7,0,0
2026-06,storage,GB,4,"iCloud","Apple",450000,11.2,0,0
2026-06,storage,GB,5,"Dropbox","Dropbox",301000,7.5,0,-18.3
2026-06,storage,GB,6,"Amazon Photos","Amazon",40500,1,0,0
2026-06,storage,GB,7,"MediaFire","MediaFire",12100,0.3,0,0
2026-06,storage,GB,8,"pCloud","pCloud",8100,0.2,0,0
2026-06,storage,GB,9,"Proton Drive","Proton",8100,0.2,0,83.3
2026-06,storage,GB,10,"Nextcloud","Nextcloud",8100,0.2,-18.5,-18.5
2026-06,storage,GB,11,"iDrive","iDrive",5400,0.1,22.2,-18.5
2026-06,storage,GB,12,"Backblaze","Backblaze",5400,0.1,0,-33.3
2026-06,storage,GB,13,"Terabox","Flextech",4400,0.1,0,-18.5
2026-06,storage,GB,14,"MEGA","MEGA",3600,0.1,0,0
2026-06,storage,CA,1,"Google Drive","Google",1500000,57.7,-18.7,0
2026-06,storage,CA,2,"OneDrive","Microsoft",368000,14.2,-18.2,0
2026-06,storage,CA,3,"iCloud","Apple",301000,11.6,-18.3,0
2026-06,storage,CA,4,"WeTransfer","Bending Spoons",201000,7.7,0,0
2026-06,storage,CA,5,"Dropbox","Dropbox",165000,6.3,0,0
2026-06,storage,CA,6,"Amazon Photos","Amazon",22200,0.9,0,0
2026-06,storage,CA,7,"MediaFire","MediaFire",8100,0.3,0,0
2026-06,storage,CA,8,"pCloud","pCloud",6600,0.3,-18.2,0
2026-06,storage,CA,9,"Nextcloud","Nextcloud",6600,0.3,-18.2,-18.2
2026-06,storage,CA,10,"Proton Drive","Proton",5400,0.2,0,83.3
2026-06,storage,CA,11,"Terabox","Flextech",4400,0.2,0,0
2026-06,storage,CA,12,"Backblaze","Backblaze",4400,0.2,-19.4,-34.1
2026-06,storage,CA,13,"iDrive","iDrive",3600,0.1,20.8,0
2026-06,storage,CA,14,"MEGA","MEGA",2400,0.1,0,26.3
2026-06,storage,AU,1,"Google Drive","Google",823000,50.2,21.5,21.5
2026-06,storage,AU,2,"OneDrive","Microsoft",368000,22.5,0,0
2026-06,storage,AU,3,"iCloud","Apple",165000,10.1,0,-17.9
2026-06,storage,AU,4,"Dropbox","Dropbox",165000,10.1,0,-17.9
2026-06,storage,AU,5,"WeTransfer","Bending Spoons",90500,5.5,0,0
2026-06,storage,AU,6,"MediaFire","MediaFire",4400,0.3,0,22.2
2026-06,storage,AU,7,"Nextcloud","Nextcloud",4400,0.3,-18.2,-18.2
2026-06,storage,AU,8,"pCloud","pCloud",3600,0.2,0,0
2026-06,storage,AU,9,"iDrive","iDrive",3600,0.2,20.8,-34.1
2026-06,storage,AU,10,"Proton Drive","Proton",2900,0.2,22.2,83.3
2026-06,storage,AU,11,"Terabox","Flextech",2400,0.1,0,0
2026-06,storage,AU,12,"Backblaze","Backblaze",2400,0.1,0,-34.5
2026-06,storage,AU,13,"MEGA","MEGA",1600,0.1,0,0
2026-06,storage,AU,14,"Amazon Photos","Amazon",1600,0.1,0,0
2026-06,storage,DE,1,"Google Drive","Google",673000,27.3,0,0
2026-06,storage,DE,2,"WeTransfer","Bending Spoons",550000,22.3,0,-18.3
2026-06,storage,DE,3,"iCloud","Apple",450000,18.2,0,0
2026-06,storage,DE,4,"OneDrive","Microsoft",368000,14.9,0,0
2026-06,storage,DE,5,"Dropbox","Dropbox",246000,10,0,-18.3
2026-06,storage,DE,6,"Nextcloud","Nextcloud",90500,3.7,-18.2,0
2026-06,storage,DE,7,"pCloud","pCloud",33100,1.3,-18.1,22.1
2026-06,storage,DE,8,"Amazon Photos","Amazon",22200,0.9,22.7,22.7
2026-06,storage,DE,9,"MediaFire","MediaFire",12100,0.5,22.3,0
2026-06,storage,DE,10,"Proton Drive","Proton",9900,0.4,0,124.1
2026-06,storage,DE,11,"Terabox","Flextech",4400,0.2,0,0
2026-06,storage,DE,12,"MEGA","MEGA",4400,0.2,0,0
2026-06,storage,DE,13,"iDrive","iDrive",2900,0.1,0,-19.4
2026-06,storage,DE,14,"Backblaze","Backblaze",2900,0.1,0,-17.2
2026-06,storage,FR,1,"WeTransfer","Bending Spoons",1500000,36.5,0,-18
2026-06,storage,FR,2,"Google Drive","Google",1220000,29.7,-18.7,0
2026-06,storage,FR,3,"iCloud","Apple",673000,16.4,0,0
2026-06,storage,FR,4,"OneDrive","Microsoft",368000,9,0,0
2026-06,storage,FR,5,"Dropbox","Dropbox",201000,4.9,0,-17.9
2026-06,storage,FR,6,"pCloud","pCloud",49500,1.2,0,22.2
2026-06,storage,FR,7,"Amazon Photos","Amazon",27100,0.7,0,0
2026-06,storage,FR,8,"Nextcloud","Nextcloud",27100,0.7,-18.1,0
2026-06,storage,FR,9,"MediaFire","MediaFire",14800,0.4,0,0
2026-06,storage,FR,10,"Proton Drive","Proton",12100,0.3,0,82.7
2026-06,storage,FR,11,"Terabox","Flextech",4400,0.1,0,-18.2
2026-06,storage,FR,12,"MEGA","MEGA",4400,0.1,0,-18.2
2026-06,storage,FR,13,"Backblaze","Backblaze",2400,0.1,0,0
2026-06,storage,FR,14,"iDrive","iDrive",1600,0,0,0
2026-06,storage,BR,1,"Google Drive","Google",1220000,29.7,0,0
2026-06,storage,BR,2,"iCloud","Apple",1220000,29.7,0,0
